Text ID,Toponym ID,Period,State,Text,Toponym,Address,Match Type,Match Result,Match Level,Match Error,Province,Prefecture,County,Direction,geometry,Maximum Error Distance,X,Y,Source,Start Page,End Page
1,1,Spring and Autumn Period,楚,此为最早明确见于文献记载中的楚县，亦是春秋置县之首例。权本为子姓小国，后为楚武王所灭，并被改建为县。《左传》庄公十八年载：“初，楚武王克权，使斗缗尹之。”斗缗为楚国大夫，“尹之”，就是以斗缗为权县的长官，来管理县内的有关事务。楚武王在位时间为公元前740年至前690年。《水经·沔水注》曰：“沔水自荆城东南流，迳当阳县之章山东，山上有故城，太尉陶侃伐杜曾所筑也。……沔水又东，右会权口，水出章山，东南流权城北，古之权国也。”《大清一统志》卷342安陆府古迹权城下亦云：“在钟祥县西南。”是权县当位于今湖北省荆门县东南。杨伯峻《春秋左传注》以为在今湖北省当阳县东南，恐非，当是将古当阳县（位于今荆门县西南）与今当阳县错混而致误。后斗缗据权县而叛楚，楚武王率军“围而杀之”。随后“迁权于那处，使阎敖尹之”(《左传》庄公十八年)，即楚武王把权县原有的臣民迁往“那处”，并在那处设县，让阎敖为县尹，负责那处的地方政务。又，徐少华认为“迁权于那处”的应是指权国旧贵族及部分平民，在权县当仍有大多数平民留于当地而为县民，不可能全面迁走而使权成为弃地，权县仍当继续存在。其说恐未必与当时的事情发展相符。因权与那处颇近，权迁那处后，权已演变为一居民点，即一般的楚邑，而权县应当不复存在了。,﻿权县,湖北省荆门县东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.93259024630586 30.893873672122275),155.8392281,112.9325902,30.89387367,中国行政区划通史先秦卷,257,258
2,2,Spring and Autumn Period,楚,该县亦置于楚武王时，此由上引《左传》庄公十八年之文可知。《水经·沔水注》曰：“《春秋》鲁庄公十八年，楚武王克权，权叛，围而杀之，迁权于那处是也。东南有那口城。”所称的那处当位于权县的东南。顾栋高、洪亮吉以为那处即西周初年所封的[冄阝]国，恐非。江永《春秋地理考实》卷以为西周所封之[冄阝]（[耳冄]）当在开封府境，或是。其时楚当已定都郢城，武王之所以迁权于那处，盖那处较权距郢为近之故。楚文王时，那处又为巴人所据。《左传》庄公十八年载：“及文王即位，与巴人伐申，而惊其师，巴人叛楚而伐那处，取之，遂门于楚。阎敖游涌而逸，楚子杀之。”然由于那处地处楚国的腹心，故推测巴人据有那处应仅为一时之事。,那处,权县的东南,Single,[],0,['No Match'],[],[],[],东南,,,,,中国行政区划通史先秦卷,258,258
3,3,Spring and Autumn Period,楚,《汉书·地理志》（以下简称《汉志》）南阳郡湖阳县下班固自注曰：“故廖国也。”廖或作蓼、飂，为祝融八姓之一，春秋时其地在今河南省唐河县西南，与在今河南省固始县东北的姬姓蓼国同名而异地，后者穆王五年(《左传》文公五年，前622)灭于楚。《左传》哀公十七年（前478）载：“（楚大夫）子谷曰：‘观丁父，都俘也，武王以为军率，是以克州、蓼、服随、唐，大启群蛮……’”据此可知蓼当于楚武王时为楚所灭。又《水经·比水注》曰：“其水西南流湖阳县故城南，《地理志》曰：故廖国也。《竹书纪年》曰：楚共王会宋平公于湖阳者矣。”是楚共王时蓼国故地已称湖阳，徐少华依照春秋楚灭国多设县之例，据此推测楚武王灭蓼后不久，即在其故地置县，并改称湖阳，汉湖阳县当因楚县旧制而来。其说应是，今从之。,湖阳,河南省唐河县西南,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.69460497288287 32.48221219542366),79.25960939,112.694605,32.4822122,中国行政区划通史先秦卷,258,259
4,4,Spring and Autumn Period,楚,邓本为西周曼姓小国，其地当在今湖北省襄樊市西北，江永《春秋地理考实》卷1、杨伯峻《春秋左传注》等认为在今河南省邓州市，不确。1974年，在襄阳山湾墓地出土了《邓公乘鼎》，该鼎的器身及盖上有如下相同的铭文：“邓公乘自作緐，其眉寿无期，永保用之。”徐少华经过对该器物的器型风格的分析，认为当属春秋晚期的前段，不可能是嫚姓邓国的遗物，而应为楚器。铭文中的“邓公”当指楚邓县的县公。此器的出土表明楚灭邓国后，即在邓之故地设立邓县。徐氏之说应是，今从之。据《左传》庄公六年（前688）所载“楚复伐邓，灭之”，可知邓国灭于楚文王三年（前688），则在是年之后楚即置邓县。,﻿邓县,河南省邓州市,Single,[{'county': 411381}],County,[],['河南'],['南阳'],['邓州'],,POINT (112.09207514991527 32.70213990455176),73.69042945,112.0920751,32.7021399,中国行政区划通史先秦卷,259,259
4,5,Spring and Autumn Period,楚,邓本为西周曼姓小国，其地当在今湖北省襄樊市西北，江永《春秋地理考实》卷1、杨伯峻《春秋左传注》等认为在今河南省邓州市，不确。1974年，在襄阳山湾墓地出土了《邓公乘鼎》，该鼎的器身及盖上有如下相同的铭文：“邓公乘自作緐，其眉寿无期，永保用之。”徐少华经过对该器物的器型风格的分析，认为当属春秋晚期的前段，不可能是嫚姓邓国的遗物，而应为楚器。铭文中的“邓公”当指楚邓县的县公。此器的出土表明楚灭邓国后，即在邓之故地设立邓县。徐氏之说应是，今从之。据《左传》庄公六年（前688）所载“楚复伐邓，灭之”，可知邓国灭于楚文王三年（前688），则在是年之后楚即置邓县。,邓国,湖北省襄樊市西北,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西北,POINT (110.92700497356418 32.15883161637984),750.7391737,110.927005,32.15883162,中国行政区划通史先秦卷,259,259
5,6,Spring and Autumn Period,楚,申本为周宣王时所分封的姜姓诸侯国。《左传》隐公元年（前722）孔颖达疏曰：“申之始封，亦在周兴之初，其后中绝。至宣王时，申伯以王舅改封于谢。”申国之地望，《汉志》南阳郡宛县下班固自注云：“故申伯国。”《左传》隐公元年杜预注曰：“申国，今南阳宛县。”《水经·淯水注》曰：“（淯水）又南迳宛城东。其城，故申伯之都，楚文王灭申以为县也。秦昭襄王使白起为将，伐楚取郢，即以此地为南阳郡，改县日宛，王莽更名，郡曰前队，县日南阳。……大城西南隅即古宛城也。”《大清一统志》卷211南阳府古迹宛县故城下云：“今南阳县治，春秋楚邑。”据上述所载，申国位于今河南省南阳市。春秋初期，楚国急于北上扩展疆土，问鼎中原。而申国正当楚国北进之要冲，于是便很自然地就成为楚国攻击的首要对象。《左传》哀公十七年（前478）楚太师子谷追述道：“彭仲爽，申俘也，（楚）文王以为令尹，实县申、息。”杜预注曰：“楚文王灭申、息以为县。”可见楚灭申国之后，将申改建为县。申县设立的时间，洪亮吉以为当在《左传》庄公六年，而今人何浩则定为《左传》庄公七年至十年（即楚文王四年至七年）之间，比较二说，似何说较妥，而洪说稍早，故今采何说。申县长官称公，斗班是最早见于史书中的申公，《左传》庄公三十年所载“秋，申公斗班杀子元”可以为证。其后史载的申公还有申公斗克、申公子仪（以上均见《左传》僖公二十五年）、申公叔侯(《左传》僖公二十六年)、申公子培(《吕氏春秋·至忠览》)、申公巫臣（屈臣）(《左传》宣公十二年、成公二十七年)、申公子申(《左传》襄公二年)、申公子牟（王子牟）(《左传》襄公二十六年)等。,﻿申县,河南省南阳县,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.18605667760141 33.06080863027986),281.5621608,112.1860567,33.06080863,中国行政区划通史先秦卷,259,260
6,7,Spring and Autumn Period,楚,吕原是周穆王时所分封的姜姓诸侯国。其国力兴盛之时，当在周幽王在位期间，《国语·郑语》有“申、吕方强”之语。春秋初期，为楚所灭。《左传》申、吕连文，成公七年（前584）载：“楚围宋之役，师还，子重请取于申、吕以为赏田。王许之。申公巫臣曰：‘不可。此申、吕所以邑也，是以为赋，以御北方。若取之，是无申、吕也，晋、郑必至于汉。'王乃止。”由上述可知吕与申相邻，且申、吕并称为邑，地位理当相同。而申在此前早为楚县，故此处之“邑”，当与县同义无疑。故吕亦应为楚县。吕县之所在，旧有二说。其一以为在今河南省南阳市西，此说以王应麟为代表，其《通鉴地理通释》云：“《国语》史伯曰：当成周者南有申、吕。《汉地理志》：南阳宛县，申伯国。诗、书及左氏解不言吕国所在。《史记正义》《括地志》云：故吕城在邓州南阳西。徐广云：吕在宛县。《水经注》亦谓宛西吕城，四岳受封。然则申、吕，汉之宛县也。”顾炎武、江永、高士奇皆采王氏之说。其二认为在今河南省新蔡县，此说为沈钦韩所主，其《春秋左氏传地名补注》云：“按，续志汝南新蔡有大吕亭。注引《地道记》曰：故吕侯国。《水经注》：新蔡县青陂之东对大吕亭，西南有小吕亭。《方舆纪要》：在汝南府新蔡县北。”刘文淇《春秋左氏传旧注疏证》比较二说后，已辨沈氏之妄。其实，沈氏所言之吕，乃是吕国的另外一支，与后来为楚所灭而成为吕县的吕，并非一地，新蔡之吕，又称为甫（郁），亦可称东吕，南阳之吕，则称西吕。徐少华认为新蔡之大、小吕亭，当是吕国故地人楚后的吕人再迁之地，与楚文王取申，于申故地置申县，而东迁申人于淮域的情况相同。杨宽亦主张吕国在今河南省南阳市西，当与申差不多同时为楚所灭，并改建为县。然他因史籍中不见吕县地方长官的记载，便以为吕县可能是由申公兼管的，从而否认了吕县存在的独立性，则又恐失之片面，徐少华对此已详辨之。,吕,今河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73482409735638 33.083013784123835),281.5621608,111.7348241,33.08301378,中国行政区划通史先秦卷,260,260
7,8,Spring and Autumn Period,楚,《左传》哀公十七年（前478）楚太师子谷追述道：“彭仲爽，申俘也，（楚）文王以为令尹，实县申、息。”杜预注曰：“楚文王灭申、息以为县。”据此可知，息县之置当在楚文王之时。息本为西周分封的姬姓诸侯国，后灭于楚。《左传》庄公十四年（前680）载：“蔡哀侯为莘故，绳息妫以语楚子。楚子如息，以食人享，遂灭息。”杨伯峻《春秋左传注》云：“此当是前数年之事，此年息妫则已生二子矣。”如此，则息国已在文王十一年(《左传》庄公十四年)前为楚所灭。息县之地望，旧说不尽一致。《说文解字》卷6下邑部鄎字下、《左传》隐公十一年及定公四年杜预注皆认为在汉晋汝南郡的新息县；而《后汉书·贾复列传》李贤注及《元和郡县图志》蔡州新息县下则认为在唐豫州新息县西南；《太平寰宇记》、《大明一统志》等又主在新息县北。其实上述分异诸说并不难断是非，《水经注》中的两条史料恰好可解决这一分歧。《水经·淮水注》云：“淮水东迳故息城南，《春秋左传》隐公十一年，郑、息有违，言息侯伐郑，郑伯败之者也。……淮水又东迳新息县故城南，应劭曰：息后徒东，故加新也。王莽之新德也，光武十九年，封马援为侯国。”此处“故息城”与“新息县故城”，当分别指春秋之息县及汉晋之新息县。而北魏以降的新息县则在汉晋新息县北的汝水流域，此由以下所引《水经注》之文可证。《水经·汝水注》曰：“汝水又东与青陂合，水上承慎水于慎阳县之上慎陂右沟，北注马城陂，陂西有黄丘亭，陂水又东迳新息亭北，又东为绸陂，陂水又东迳新息县，结为墙陂。”这样，春秋时息县当在北魏以来的新息县西南，《后汉书》李贤注及《元和郡县图志》所言不误，而《太平寰宇记》等是将汉晋新息县误视为北魏以来的新息县，因而得出春秋息县在宋新息县北的错误结论。此点徐少华业已指出。故春秋时息县应在今河南省息县西南。史籍中记载最早的息公是屈御寇，《左传》僖公二十五年（前635）载：“楚斗克、屈御寇以申、息之师戍商密。……秦师囚申公子仪、息公子边以归。”子仪、子边分别为斗克与屈御寇的字。另外，还有息公子朱(《左传》文公三年、九年)。息县在楚国对外扩展中起了很大的作用。息县与申县都建有实力颇强的军队，《左传》中就多次提到申息之师。,﻿息县,河南省息县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.39370188676723 33.083013784123835),602.4028642,112.3937019,33.08301378,中国行政区划通史先秦卷,260,261
8,9,Spring and Autumn Period,楚,《左传》文公十年（前617）载：“初，楚范巫矞似谓成王与子玉、子西曰：‘三君皆将强死。'城濮之役，王思之，故使止子玉曰：‘勿死。’不及。止子西，子西缢而县绝，王使适至，遂止之，使为商公。”此段文字所追述的是成王四十年(《左传》僖公二十八年，前632)，楚晋城濮之战后的事情。其中提及商公子西，是至迟是年时楚已置商县。商县之地望，旧有二说。其一，《左传》文公十年杜预注曰：“商，楚邑。今上雒商县。”其地当在今陕西省商县东南之商洛县。其二，清人江永《春秋地理考实》卷2对杜说提出质疑，认为“楚成王时，楚地未能至商州，其使子西为商公，或是商密之地”。商密当在今河南省淅川县西南。近人刘文淇、今人杨伯峻、杨宽等皆赞同江永的说法。然徐少华又力主杜预之说，以为其时都（秦、楚界上小国)未南迁，仍在商密，楚成王不可能在都都商密置县，江永忽略了楚置县与都国南迁的时间关系。不过徐少华在指责江永忽略时间关系的同时，自己似乎又忘记了地域关系。因杜氏所言的上雒商县实在距楚太远，且杨宽又据确凿文献(《竹书纪年》)指出杜氏所说的商县，本名称於或邬，秦孝公分封卫鞅于此地后方改名为商，故杜预之说恐不能为凭。而徐少华据汉晋商县遗址出土的具有楚文化特征的器物，即断定其为先秦楚之商县，恐难令人信服。然他所提出的其时都未南迁，亦确为事实。且《左传》文公五年载：“夏，秦人人都。”杨伯峻《春秋左传注》曰：“此时都盖仍都商密，秦人人都，则取商密并入已国。都未亡，迁都今湖北省宜城县东南，为楚附庸。”杨说是。故可知楚国至此时亦未据有商密。据此，则上文所述至迟成王四十年楚置之商县不可能即是商密，两者并非一地，江永的说法亦不能成立。既然已有的两种说法都不能成立，便需要重新确定商县的位置。据《左传》文公十年载商公子西“沿汉溯江，将人郢”来分析，商县当在汉水流域，由其商县之名来推测，其地恐近商密，在今湖北省均县附近。有关商县的记载仅此一见，颇疑楚置商县不久即废。,商县,今湖北省均县附近,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (112.96002501880612 31.152191210560233),750.7391737,112.960025,31.15219121,中国行政区划通史先秦卷,261,262
9,10,Spring and Autumn Period,楚,期思本为西周初年分封的姬姓诸侯国蒋国的都城。《左传》文公十年有楚子田孟诸，“期思公复遂为右司马”之语，杜预注曰：“复遂，楚期思邑公。”其为楚穆王时事。杨宽以为至迟穆王时已置期思县，甚是。期思县当是在楚灭蒋国之后在其基础上建立的，而以原蒋国都城期思为名。然蒋国灭亡时间，史籍未载。徐少华依据当时楚在城濮之役战败后，兵锋受挫，穆王继位，一时无力北进，再度转为向东经略淮域的具体情况，推测楚灭蒋应在穆王四年(《左传》文公四年，前623)或稍早。其说可从。至于期思县之地望，《汉志》汝南郡期思县下颜师古注曰：“故蒋国。”则西汉期思县当即蒋国都城期思，亦即春秋楚期思县所在地。然西汉期思县之地望，说者不一。其中较通行的说法是《大清一统志》中的提法，该书卷222光州古迹期思故城下曰：“在固始县西北，楚期思邑。…《寰宇记》，在固始县西北七十里。”据此，则应在今河南省淮滨县东南期思乡。而石泉则以为此为魏晋以后期思的位置，秦汉以前的期思县当在魏晋期思县的东北之古期思城，即今河南省固始县东北、史灌河以东近淮河南岸处，其观点可备一说。,﻿期思县,河南省淮滨县东南期思乡,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],,POINT (115.31412286503618 32.46081562194832),55.69217628,115.3141229,32.46081562,中国行政区划通史先秦卷,262,263
