c_addr_id,c_addr_cbd,c_name,c_name_chn,c_admin_type,c_firstyear,c_lastyear,x_coord,y_coord,belongs1_ID,belongs1_Name,belongs1_Name_chn,belongs2_ID,belongs2_Name,belongs2_Name_chn,belongs3_ID,belongs3_Name,belongs3_Name_chn,belongs4_ID,belongs4_Name,belongs4_Name_chn,belongs5_ID,belongs5_Name,belongs5_Name_chn
701926,,Xi Zhou,西周,Chaodai,-1046,-771,,,,,,,,,,,,,,,,,
701927,,Chun Qiu,春秋,Chaodai,-770,-476,,,,,,,,,,,,,,,,,
701928,,Zhan Guo,戰國,Chaodai,-475,-221,,,,,,,,,,,,,,,,,
701929,,Chu,楚,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701930,,Jin,晉,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701931,,Zhou,周,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701932,,Qin,秦,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701933,,Qi,齊,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701934,,Wu,吳,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701935,,Wei,衛,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701936,,Zheng,鄭,State,-770,-476,,,701927,Chun Qiu,春秋,,,,,,,,,,,,
701937,,Qi,齊,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701938,,Han,韓,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701939,,Zhao,趙,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701940,,Wei,魏,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701941,,Yan,燕,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701942,,Chu,楚,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701943,,Qin,秦,State,-475,-221,,,701928,Zhan Guo,戰國,,,,,,,,,,,,
701944,,Xi Guo,西虢,State,,,,,,,,,,,,,,,,,,,
701945,,Xi Guo,西虢,State,-1046,-771,107.3628199,34.35850821,701926,Xi Zhou,西周,,,,,,,,,,,,
701946,,Xi Guo,西虢,State,-1046,-771,111.4051882,34.63864555,701926,Xi Zhou,西周,,,,,,,,,,,,
701947,,Cheng,郕,State,,,,,,,,,,,,,,,,,,,
701948,,Cheng,郕,State,-1046,-1021,107.6850789,34.39623259,701926,Xi Zhou,西周,,,,,,,,,,,,
701949,,Cheng,郕,State,-1042,-771,116.5924625,35.84626786,701926,Xi Zhou,西周,,,,,,,,,,,,
701950,,Bi,畢,State,-1046,-771,108.1748482,35.18676594,701926,Xi Zhou,西周,,,,,,,,,,,,
701951,,Dan,聃,State,,,,,,,,,,,,,,,,,,,
701952,,Dan,聃,State,-1046,-977,108.8116781,34.17473218,701926,Xi Zhou,西周,,,,,,,,,,,,
701953,,Dan,聃,State,-995,-771,112.3480105,30.66665918,701926,Xi Zhou,西周,,,,,,,,,,,,
701954,,Ji,祭,State,-1046,-771,109.5631783,35.65150642,701926,Xi Zhou,西周,,,,,,,,,,,,
701955,,Ji,祭,State,-770,-476,111.8784218,34.32697013,701927,Chun Qiu,春秋,,,,,,,,,,,,
701956,,Zheng,鄭,State,-1046,-771,109.5631783,35.65150642,701926,Xi Zhou,西周,,,,,,,,,,,,
701957,,Zheng,鄭,State,-770,-476,113.7813813,34.48001583,701927,Chun Qiu,春秋,,,,,,,,,,,,
701958,,Mao,毛,State,-1046,-771,109.5631783,35.65150642,701926,Xi Zhou,西周,,,,,,,,,,,,
