id,toponym,location
1.0,权县,今湖北省荆门县东南
1.0,权国,今湖北省荆门县东南
3.0,廖国,今河南省唐河县西南
3.0,蓼国,今河南省固始县东北
4.0,邓国,湖北省襄樊市
4.0,邓县,河南省邓州市
5.0,申国,今河南省南阳市
5.0,宛城,今河南省南阳市
6.0,吕国,河南省南阳市西
6.0,申,楚县
7.0,息国,今河南省息县西南
8.0,商县,今陕西省商县东南之商洛县
8.0,商密,今河南省淅川县西南
9.0,期思,今河南省淮滨县东南期思乡
10.0,析县,河南省西峡县
10.0,白羽,河南省西峡县
10.0,容城,河南省鲁山县东南
12.0,庐,湖北省襄樊市西南
12.0,庐戢桨,庐县
11.0,鄀,河南省淅川县西南
11.0,商密,河南省淅川县西南
11.0,宜城,湖北省宜城县东南
11.0,郢,湖北省
11.0,番,湖北省
11.0,鄢,河南省
13.0,庸,湖北省竹山县西南
14.0,宛丘,河南省淮阳县
15.0,沈尹,沈县
15.0,沈尹寿,沈县
15.0,沈尹射,沈县
15.0,沈尹赤,沈县
15.0,沈尹戌,沈县
15.0,沈尹朱,沈县
16.0,城父,今河南省襄城县西（即宝丰县东）
17.0,郧,今湖北省钟祥县北境
17.0,郧公钟仪,今湖北省钟祥县北境
18.0,州来,安徽省凤台县
19.0,叶县,今河南省叶县南
19.0,许,今河南省许昌市东
20.0,陈,今河南省舞阳县
20.0,蔡,今河南省襄城县
20.0,不羹,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南
21.0,蔡,商王畿内的河南省修武县以西地带
21.0,上蔡,今河南省上蔡县城关一带
21.0,新蔡,今河南省新蔡县西
21.0,方城,楚县
22.0,白县,今河南省息县东北
22.0,白亭,汝阴褒信县西南
22.0,鄢,今河南省漯河市东
22.0,巢,今安徽省六安县东北
23.0,巢国,汉晋的居巢县
23.0,钟离,今安徽省凤阳县东北
24.0,钟离,安徽省凤阳县东北临淮关
25.0,阴大夫,湖北省老河口北
25.0,阴县,湖北省老河口北
26.0,棠县,江苏省六合县西北
27.0,武城,河南省信阳市东北
28.0,蓝县,成臼附近
29.0,苦县,河南省鹿邑县东
29.0,相县,安徽省濉溪县西北
30.0,荀,山西省新绛县东北
30.0,荀国,山西省新绛县东北
30.0,荀县,山西省新绛县东北
31.0,耿,山西省河津县东南
31.0,魏,山西省芮城县北
32.0,州,河南省温县东北
32.0,温,河南省温县
32.0,原,河南省温县
32.0,陉,河南省温县
33.0,原,河南省济源市西北
34.0,温,河南省温县西南
34.0,郑,河南省温县西南
35.0,阳樊,河南省济源市西南
36.0,欑茅,河南省修武县北
36.0,絺,河南省沁阳市西南
36.0,陉,河南省沁阳市西北
37.0,阳樊,南阳
37.0,温,温县
37.0,原,原阳
37.0,州,州县
37.0,陉,陉县
37.0,鉏,滑县
39.0,瑕,河南省灵宝市西北
39.0,瑕县,河南省灵宝市西北
40.0,阴地,今河南省卢氏县东北之阴地城
41.0,瓜衍之县,山西省孝义市北
43.0,长子,山西省长子县
43.0,纯留,山西省屯留县
44.0,绛,山西省翼城县东南
44.0,绛,山西省侯马市西
45.0,任县,河北省任县东南
46.0,中牟,河南省鹤壁市西
46.0,中牟,河南省中牟县东
48.0,邬县,山西省介休市东北
48.0,祁县,山西省祁县东南
48.0,平陵县,山西省文水县东北
48.0,梗阳县,山西省清徐县
48.0,涂水县,山西省榆次市西南
48.0,马首县,山西省寿阳县东南
48.0,孟县,山西省阳曲县东北
49.0,铜鞮,山西省沁县南
49.0,平阳,山西省临汾市西南
49.0,杨,山西省洪洞县东南
50.0,邯郸,河北省邯郸市
51.0,原县,河南省济源市西北
51.0,冀,山西省河津县东北
52.0,甘县,今河南省洛阳市南
53.0,邽县,今甘肃省天水市
53.0,冀县,今甘肃省甘谷县
53.0,杜县,今陕西省西安市南
53.0,郑县,今陕西省华县
53.0,上邽,今甘肃省天水市
53.0,下邽,今陕西省渭南市北
53.0,虢县,今陕西省宝鸡县西
54.0,叔夷釐邑,莱邑
54.0,晏子得到的是千家之县,晏子得到的是千家之县
54.0,棠县,山东省平度市东南
55.0,朱方,江苏省镇江市东南
55.0,卑梁,安徽省天长市西北
57.0,阳翟县,河南阳城
57.0,栎,阳翟
58.0,临淄,山东省淄博市临淄北
59.0,高唐,山东省高唐县东
60.0,酅,山东省淄博市东北
60.0,安平,山东省淄博市东北
61.0,阿,山东省
61.0,甄,山东省甄城县北
62.0,即墨,山东省平度市东南
62.0,阿,山东省阳谷县东北阿城镇
63.0,南武城,山东省平邑县东南故县
64.0,薛,山东省滕州市南
66.0,蒙,河南省商丘市东北
67.0,昌城,山东省淄博市东南昌城
68.0,聊城,山东省聊城市西北
70.0,夜邑,山东省莱州市
71.0,齐县,山东省沂源县东南
72.0,平陆县,山东省汶上县北
73.0,平陵县,山东省济南市历城区
75.0,安阳,山东阳谷东北
76.0,易（阳）,山东省沂水县
76.0,高密,高密
76.0,平阿,平阿
76.0,平陆,平陆
77.0,平阳,山西省临汾市西南
78.0,杨氏县,山西省洪洞县东南
78.0,长子县,山西省长子县西南
79.0,铜鞮,山西省沁县南
80.0,屯留,山西省屯留县南
80.0,晋,山西省
80.0,端氏,山西省
80.0,上党郡,山西省
80.0,尚子,山西省
81.0,京,河南省荥阳市东南
81.0,郑邑,河南省荥阳市东南
83.0,邢丘,河南省温县东平皋故城
84.0,卢氏令戈,河南省卢氏县
84.0,卢氏城,河南省卢氏县
85.0,新城,河南省伊川县西南
86.0,路,山西省潞城县东北
86.0,涉,河北省涉县西北
86.0,端氏,山西省沁水县东
87.0,修鱼县,今河南原武县东
88.0,宜阳,河南省宜阳县西
90.0,皋落,山西垣曲县东南
92.0,洱阳,汝阳（在今河南商水县附近）
93.0,野王,河南省沁阳市
95.0,仑氏,河南登封县西南
95.0,纶氏,河南登封县西南
95.0,韩县,河南登封县西南
96.0,阳翟,河南省禹州市
97.0,阳人县,河南汝州市西
99.0,格氏县,河南荣阳北
99.0,安阳县,安阳
99.0,彘县,彘
99.0,雍氏县,雍氏
99.0,阳城县,阳城
99.0,襄城县,襄城
99.0,喜县,喜
99.0,壤阴县,壤阴
99.0,郎皋县,郎皋
99.0,涅县,涅
99.0,露县,露
99.0,於正县,於正
99.0,来县,来
99.0,邻县,邻
100.0,盂,山西省阳曲县东北
100.0,平陵,山西省文水县东北
101.0,梗阳,山西省清徐县
102.0,邬,山西省介休市东北
103.0,涂水,山西省榆次市西南
104.0,邯郸,河北省邯郸市
105.0,祁县,山西省祁县东南
106.0,中牟,河南省鹤壁市西
107.0,晋阳,山西省太原市西南
108.0,泫氏,山西省高平市
109.0,平邑,山西省大同县东
111.0,番吾,河北省平山县东南
115.0,榆次,山西省榆次市
116.0,蔺,山西省离石县西
118.0,鄗,河北省柏乡县北
120.0,代郡,河北省蔚县东北代王城
120.0,代县,河北省蔚县东北代王城
122.0,石邑,河北省获鹿县东南
123.0,云中,内蒙古自治区托克托县东北
124.0,雁门郡,山西省右玉县南
124.0,善无,山西省右玉县南
126.0,南行唐,今河北省行唐县东北
128.0,房子,防陵
128.0,安阳,河南安阳西南
131.0,武垣县,今河北省肃宁县东南
132.0,元氏,河北省元氏县西北
133.0,邢县,河北邢台
133.0,赵国,河北邢台
134.0,新城,山西省朔州南
135.0,狼孟县,山西省阳曲县
138.0,柏人,河北省隆尧县西
140.0,平原津令,山东省平原县南
141.0,富昌县,内蒙古自治区准格尔旗
142.0,武平,赵县
142.0,赵国,河北省文安县北
144.0,三年徐（令）,南轮城
144.0,商城,商平
144.0,中阳,阳化
144.0,阳丘,阳邑
144.0,武安,西都
144.0,平周,平州
144.0,寿阴,虑虒
144.0,藿人,大阴
144.0,繁寺（止？）（繁畤）,娄番（弁？）（楼烦)
144.0,酆,尹城
144.0,平城,椁（崞）
144.0,邪（推邪？）,奴邑（茹？）
144.0,博,平匋
144.0,襄洹,平襄
144.0,郎,成襄
144.0,平阴,鄩氏
144.0,鄫,隰城
144.0,莆子,奇氏
144.0,盧阳,平氏
144.0,完（冠）阳（原阳）,星阳（清阳）
144.0,人也（任）,氏金（泜）
144.0,平于（平舒）,沙乇（沙泽）
144.0,干关（抨关）,平阳
144.0,邸,北箕
144.0,狋氏,圁阳化
144.0,阳新化,成
144.0,成白,上（曲）阳
144.0,下（曲）阳,安阳
144.0,家阳,上尃（博）
144.0,下尃（博）,北九门
144.0,五陉,封氏
144.0,新处,王夸（望诸？）
144.0,关,宋子
144.0,上艾,平台
144.0,凭,邓（苏）阳
144.0,邢,鸾即（安次？）
144.0,觱（即裴）,安险（阴？、险？）
144.0,大酉（扶柳）,鄚（权）
144.0,阿,貍
144.0,亲（新）处,阳湔（原）
144.0,余亡（吾）,戏
144.0,武阳,战（沾？）
145.0,温县,河南省温县西南
145.0,魏县,河南省温县西南
146.0,少梁国,陕西省韩城市西南
146.0,少梁,陕西省韩城市
147.0,雒阴,陕西省大荔县西南洛河南岸
147.0,合阳,陕西省合阳县东南
148.0,邺,河北省临漳县西南
150.0,苦陉,河北省无极县东北
151.0,酸枣,河南省延津县西南
152.0,承匡,河南省睢县西南匡城
152.0,襄陵,河南省睢县西三十里有承匡城
153.0,安邑,山西省夏县西北
153.0,王垣,山西省垣曲县东南
157.0,大梁,河南省开封市
158.0,绛,山西省侯马市西
158.0,晋,山西省侯马市西
161.0,济阳县,今河南省兰考县东北
163.0,顿丘,河南浚县西
163.0,淇,顿丘
164.0,阴晋,陕西省华阴市东
166.0,蒲子县,山西隰县
167.0,漆垣,陕西铜川西北
168.0,高奴县,今陕西延安市东北延河北岸
169.0,皮氏,山西省河津县西
169.0,汾水,皮氏县南
170.0,蒲坂,山西省永济县西南
170.0,蒲阪,山西省永济县西南
172.0,平丘,河南省封丘县东
173.0,首垣,河南省长垣县东北
177.0,单父,山东省单县
180.0,燕,河南省延津县东北
180.0,虚,河南省延津县东
180.0,长平,河南省西华县东北
180.0,雍丘,河南省杞县
180.0,山阳,河南省焦作市东北
181.0,修武县,河南省获嘉县
182.0,共城,河南辉县
182.0,共县,河南辉县
183.0,宅阳县,河南荥阳东
184.0,梧县,今河南许昌、鄢陵一带
186.0,涑[睘阝],山西西南的涑水边上的一个县
186.0,安成,可能位于魏国境内
186.0,焦,可能位于魏国境内
186.0,禾,魏国境内
186.0,垂,魏国境内
186.0,言阳,魏国境内
186.0,陕,魏国境内
186.0,阴安,魏国境内
186.0,合(沇),魏国境内
186.0,襄垣,魏国境内
186.0,奇氏,魏国境内
186.0,成阳,魏国境内
186.0,虚阳,魏国境内
186.0,土匀(土军),魏国境内
186.0,向,魏国境内
186.0,妾(?)都蒙(?),韩、赵、魏三晋地区
186.0,都噩丘郡昌里□,韩、赵、魏三晋地区
186.0,噩丘县,可能位于韩、赵、魏三晋地区
186.0,遽郡,可能位于韩、赵、魏三晋地区
187.0,上谷,今河北省怀来县东南
187.0,渔阳,今北京市密云县西南
187.0,右北平,今天津市蓟县
187.0,辽西,今辽宁省义县西
188.0,辽西郡,今河北省迁安县西
188.0,令支县,今河北省迁安县西
189.0,襄平,辽宁省辽阳市
190.0,昌城,昌城
190.0,涿,涿州
190.0,阴坪,阴坪
