id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,Maximum Error Distance,Certainty
1,权县,今湖北省荆门县东南,['今湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],155.8392281,0.969120984
1,权国,今湖北省荆门县东南,['今湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],155.8392281,0.969120984
3,廖国,今河南省唐河县西南,['今河南省唐河县西南'],西南,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.69460497288287 32.48221219542366),['河南省'],['南阳市'],['唐河县'],79.25960939,0.984294977
3,蓼国,今河南省固始县东北,['今河南省固始县东北'],东北,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.78803240239264 32.34860379712833),['河南省'],['信阳市'],['固始县'],95.90564323,0.980996621
4,邓国,湖北省襄樊市,['湖北省襄樊市'],,"[['湖北', '']]",[{'county': 420102}],County,[],modern,POINT (114.30711292635868 30.644739465750042),['湖北省'],['武汉市'],['江岸区'],17.17430851,0.996596969
4,邓县,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],73.69042945,0.985398491
5,申国,今河南省南阳市,['今河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
5,宛城,今河南省南阳市,['今河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
6,吕国,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
6,申,楚县,['楚县'],,[['']],[{'county': 150102}],County,[],modern,POINT (111.87654376409023 40.96160713329657),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
7,息国,今河南省息县西南,['今河南省息县西南'],西南,"[['河南', '息']]",[{'county': 411528}],County,[],modern,POINT (114.7813614975039 32.280516102686875),['河南省'],['信阳市'],['息县'],63.4238693,0.987432775
8,商县,今陕西省商县东南之商洛县,['今陕西省商县东南之商洛县'],,"[['陕西', '商洛', '商']]",[{'county': 611002}],County,[],modern,POINT (109.9172640670168 33.91256989641228),['陕西省'],['商洛市'],['商州区'],69.68325714,0.986192498
8,商密,今河南省淅川县西南,['今河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],105.8536459,0.979025458
9,期思,今河南省淮滨县东南期思乡,['今河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],55.69217628,0.988964784
10,析县,河南省西峡县,['河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],87.43215002,0.982675615
10,白羽,河南省西峡县,['河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],87.43215002,0.982675615
10,容城,河南省鲁山县东南,['河南省鲁山县东南'],东南,"[['河南', '鲁山']]",[{'county': 410423}],County,[],modern,POINT (112.97315054814776 33.635538449837114),['河南省'],['平顶山市'],['鲁山县'],91.68392664,0.98183314
12,庐,湖北省襄樊市西南,['湖北省襄樊市西南'],西南,"[['湖北', '']]",[{'county': 420102}],County,[],modern,POINT (114.29159428227068 30.623335782765512),['湖北省'],['武汉市'],['江岸区'],17.17430851,0.996596969
12,庐戢桨,庐县,['庐县'],,[['']],[{'county': 150102}],County,[],modern,POINT (111.87654376409023 40.96160713329657),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
11,鄀,河南省淅川县西南,['河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],105.8536459,0.979025458
11,商密,河南省淅川县西南,['河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],105.8536459,0.979025458
11,宜城,湖北省宜城县东南,['湖北省宜城县东南'],东南,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.54929721526733 31.592039069509852),['湖北省'],['襄阳市'],['宜城市'],77.65796106,0.984612338
11,郢,湖北省,['湖北省'],,"[['湖北', '']]",[{'county': 420102}],County,[],modern,POINT (114.30711292635868 30.644739465750042),['湖北省'],['武汉市'],['江岸区'],17.17430851,0.996596969
11,番,湖北省,['湖北省'],,"[['湖北', '']]",[{'county': 420102}],County,[],modern,POINT (114.30711292635868 30.644739465750042),['湖北省'],['武汉市'],['江岸区'],17.17430851,0.996596969
