id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,Maximum Error Distance,Certainty
1,权县,今湖北省荆门市东南,['今湖北省荆门市东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],155.8392281,0.969120984
1,权口,今湖北省荆门市东南流权城北,['今湖北省荆门市东南流权城北'],北,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.63013482920267 31.34383054149237),['湖北省'],['荆门市'],['NA'],155.8392281,0.969120984
3,廖国,河南省唐河县西南,['河南省唐河县西南'],西南,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.69460497288287 32.48221219542366),['河南省'],['南阳市'],['唐河县'],79.25960939,0.984294977
3,蓼国,河南省固始县东北,['河南省固始县东北'],东北,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.78803240239264 32.34860379712833),['河南省'],['信阳市'],['固始县'],95.90564323,0.980996621
4,邓,湖北省襄樊市西北,['湖北省襄樊市西北'],西北,"[['湖北', '']]",[{'county': 420102}],County,[],modern,POINT (114.29370199706662 30.67693316349547),['湖北省'],['武汉市'],['江岸区'],17.17430851,0.996596969
5,申国,今河南省南阳市,['今河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
6,吕原,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
6,申,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],281.5621608,0.944209411
7,息县,今河南省息县西南,['今河南省息县西南'],西南,"[['河南', '息']]",[{'county': 411528}],County,[],modern,POINT (114.7813614975039 32.280516102686875),['河南省'],['信阳市'],['息县'],63.4238693,0.987432775
8,商县,今湖北省均县附近,['今湖北省均县附近'],,"[['湖北', '均']]",[{'county': 420381}],County,[],modern,POINT (111.2478577665955 32.59461104834358),['湖北省'],['十堰市'],['丹江口市'],82.15262921,0.983721735
9,期思,河南省淮滨县东南期思乡,['河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],55.69217628,0.988964784
9,蒋国,河南省固始县东北、史灌河以东近淮河南岸,['河南省固始县东北、史灌河以东近淮河南岸'],,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.6391085343304 32.16856521937008),['河南省'],['信阳市'],['固始县'],95.90564323,0.980996621
10,析,今河南省西峡县,['今河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],87.43215002,0.982675615
10,白羽,析,['析'],,[['']],[{'county': 150102}],County,[],modern,POINT (111.87654376409023 40.96160713329657),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
12,庐,湖北省襄阳市,['湖北省襄阳市'],,"[['湖北', '襄阳']]",[{'prefecture': 4206}],Prefecture,[],modern,POINT (111.99218815084078 31.949474174194535),['湖北省'],['襄阳市'],['NA'],231.0556766,0.9542171
11,商密,今河南省淅川县西南,['今河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],105.8536459,0.979025458
11,宜城,今湖北省宜城县东南,['今湖北省宜城县东南'],东南,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.54929721526733 31.592039069509852),['湖北省'],['襄阳市'],['宜城市'],77.65796106,0.984612338
13,上庸,湖北省竹山县西南,['湖北省竹山县西南'],西南,"[['湖北', '竹山']]",[{'county': 420323}],County,[],modern,POINT (110.02016358021368 32.23409831660457),['湖北省'],['十堰市'],['竹山县'],125.8539942,0.975062457
14,宛丘,今河南省淮阳县,['今河南省淮阳县'],,"[['河南', '淮阳']]",[{'county': 411603}],County,[],modern,POINT (114.83825605453461 33.678069228952864),['河南省'],['周口市'],['淮阳区'],64.09541647,0.98729971
15,沈县,今安徽省临泉县,['今安徽省临泉县'],,"[['安徽', '临泉']]",[{'county': 341221}],County,[],modern,POINT (115.32828737405632 32.85900566936147),['安徽省'],['阜阳市'],['临泉县'],71.34504225,0.985863221
15,沈国,今河南省平舆县北,['今河南省平舆县北'],北,"[['河南', '平舆']]",[{'county': 411723}],County,[],modern,POINT (114.6141132524672 33.090581254088775),['河南省'],['驻马店市'],['平舆县'],50.68834719,0.989956276
16,城父,河南省襄城县西（即宝丰县东）,['河南省襄城县西（即宝丰县东）'],,"[['河南', '宝丰'], ['河南', '襄城']]","[{'county': 410421}, {'county': 411025}]",County,['Multiple Matches'],modern,POINT (113.29144226228192 33.89082190857292),['河南省'],"['平顶山市', '许昌市']","['襄城县', '宝丰县']",56.45968555,0.988812704
16,成公乾,城父（成）县,['城父（成）县'],,"[['城'], ['成']]","[{'county': 140302}, {'county': 621221}]",County,['Multiple Matches'],modern,POINT (109.61554590411461 35.799362152376126),"['甘肃省', '山西省']","['阳泉市', '陇南市']","['城区', '成县']",55.86384215,0.988930769
17,郧县,今湖北省钟祥县北境,['今湖北省钟祥县北境'],,"[['湖北', '钟祥']]",[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],100.1772377,0.980150219
18,州来,今安徽省凤台县,['今安徽省凤台县'],,"[['安徽', '凤台']]",[{'county': 340421}],County,[],modern,POINT (116.58463247421815 32.77307801044718),['安徽省'],['淮南市'],['凤台县'],55.82160225,0.988939138
18,下蔡,州来,['州来'],,[['']],[{'county': 150102}],County,[],modern,POINT (111.87654376409023 40.96160713329657),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
19,叶县,今河南省叶县南,['今河南省叶县南'],南,"[['河南', '叶']]",[{'county': 410422}],County,[],modern,POINT (113.25559749685087 33.447944054547875),['河南省'],['平顶山市'],['叶县'],59.43074139,0.988224
19,许,今河南省许昌市东,['今河南省许昌市东'],东,"[['河南', '许昌']]",[{'prefecture': 4110}],Prefecture,[],modern,POINT (114.00400805581671 34.01837218896118),['河南省'],['许昌市'],['NA'],125.9937488,0.975034765
20,东不羹,河南省舞阳县西北,['河南省舞阳县西北'],西北,"[['河南', '舞阳']]",[{'county': 411121}],County,[],modern,POINT (113.63693409772601 33.62173883629204),['河南省'],['漯河市'],['舞阳县'],41.26131085,0.991824211
20,西不羹,河南省襄城县东南,['河南省襄城县东南'],东南,"[['河南', '襄城']]",[{'county': 411025}],County,[],modern,POINT (113.66109938929417 33.78758458318967),['河南省'],['许昌市'],['襄城县'],44.64150679,0.991154437
21,蔡叔始封,河南省修武县以西地带,['河南省修武县以西地带'],,"[['河南', '修武']]",[{'county': 410821}],County,[],modern,POINT (113.25353098993187 35.333201968868536),['河南省'],['焦作市'],['修武县'],41.84330132,0.991708891
21,蔡仲复封时建都上蔡,河南省上蔡县城关一带,['河南省上蔡县城关一带'],,"[['河南', '上蔡']]",[{'county': 411722}],County,[],modern,POINT (114.43138227105428 33.31576190188675),['河南省'],['驻马店市'],['上蔡县'],59.4675017,0.988216716
21,新蔡县,河南省新蔡县西,['河南省新蔡县西'],西,"[['河南', '新蔡']]",[{'county': 411729}],County,[],modern,POINT (114.80801318705777 32.8026341611258),['河南省'],['驻马店市'],['新蔡县'],53.79125465,0.989341445
21,蔡国旧地上蔡,楚县,['楚县'],,[['']],[{'county': 150102}],County,[],modern,POINT (111.87654376409023 40.96160713329657),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
22,白县,河南省息县东北或淮滨县西南,['河南省息县东北或淮滨县西南'],西南,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.2991493578337 32.3614640685046),['河南省'],['信阳市'],['淮滨县'],55.69217628,0.988964784
22,鄢,河南省漯河市东,['河南省漯河市东'],东,"[['河南', '漯河']]",[{'prefecture': 4111}],Prefecture,[],modern,POINT (114.0007136693999 33.71990268071875),['河南省'],['漯河市'],['NA'],82.05264287,0.983741546
22,巢,安徽省寿县南,['安徽省寿县南'],南,"[['安徽', '寿']]",[{'county': 340422}],County,[],modern,POINT (116.77973113562749 32.08973873873581),['安徽省'],['淮南市'],['寿县'],83.85817003,0.983383787
23,巢,今六安县东北,['今六安县东北'],东北,[['六安']],[{'prefecture': 3415}],Prefecture,[],modern,POINT (116.38500765126264 32.11546780411756),['安徽省'],['六安市'],['NA'],187.4399413,0.96285941
23,钟离,今安徽省凤阳县东北,['今安徽省凤阳县东北'],东北,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.72595438088499 32.928151831793116),['安徽省'],['滁州市'],['凤阳县'],78.72892723,0.98440013
24,钟离,安徽省凤阳县东北临淮关,['安徽省凤阳县东北临淮关'],,"[['安徽', '凤阳']]",[{'county': 341126}],County,[],modern,POINT (117.61672510764127 32.84248527073355),['安徽省'],['滁州市'],['凤阳县'],78.72892723,0.98440013
25,阴县,今湖北省老河口北,['今湖北省老河口北'],北,"[['湖北', '老河口']]",[{'county': 420682}],County,[],modern,POINT (111.67881903115388 32.57905262069674),['湖北省'],['襄阳市'],['老河口市'],51.66357793,0.989763037
26,棠县,今江苏省六合县西北,['今江苏省六合县西北'],西北,"[['江苏', '六合']]",[{'county': 320116}],County,[],modern,POINT (118.71467117795228 32.50284665302389),['江苏省'],['南京市'],['六合区'],62.0393857,0.987707106
27,武城,河南省信阳市东北,['河南省信阳市东北'],东北,"[['河南', '信阳']]",[{'prefecture': 4115}],Prefecture,[],modern,POINT (115.3846284156569 32.34860379712833),['河南省'],['信阳市'],['NA'],217.9936215,0.956805302
28,蓝县,今湖北省钟祥县西北,['今湖北省钟祥县西北'],西北,"[['湖北', '钟祥']]",[{'county': 420881}],County,[],modern,POINT (112.36713444868397 31.43243108495811),['湖北省'],['荆门市'],['钟祥市'],100.1772377,0.980150219
29,苦县,今河南省鹿邑县东,['今河南省鹿邑县东'],东,"[['河南', '鹿邑']]",[{'county': 411628}],County,[],modern,POINT (115.47993533666437 33.906247185226704),['河南省'],['周口市'],['鹿邑县'],60.25245178,0.988061181
29,相县,今安徽省濉溪县西北,['今安徽省濉溪县西北'],西北,"[['安徽', '濉溪']]",[{'county': 340621}],County,[],modern,POINT (116.57220905011505 33.81557706191165),['安徽省'],['淮北市'],['濉溪县'],78.00848627,0.984542882
30,荀,山西省新绛县东北,['山西省新绛县东北'],东北,"[['山西', '新绛']]",[{'county': 140825}],County,[],modern,POINT (111.20238728567072 35.707798259774584),['山西省'],['运城市'],['新绛县'],40.22313184,0.992029923
30,荀城,河东,['河东'],东,[['']],[{'county': 150102}],County,[],modern,POINT (111.93860629841855 41.00528120866028),['内蒙古自治区'],['呼和浩特市'],['新城区'],40.159592,0.992042513
31,耿,今山西省河津县东南,['今山西省河津县东南'],东南,"[['山西', '河津']]",[{'county': 140882}],County,[],modern,POINT (110.7598338169628 35.58016543415298),['山西省'],['运城市'],['河津市'],35.33819181,0.992997857
31,魏,今山西省芮城县北,['今山西省芮城县北'],北,"[['山西', '芮城']]",[{'county': 140830}],County,[],modern,POINT (110.66961129097986 34.77434754112491),['山西省'],['运城市'],['芮城县'],65.72258329,0.986977293
32,州,今河南省温县东北,['今河南省温县东北'],东北,"[['河南', '温']]",[{'county': 410825}],County,[],modern,POINT (113.1172096613217 35.004093281468705),['河南省'],['焦作市'],['温县'],33.72644378,0.993317219
