,index_x,id,toponym,location,index_y,Address,closeness,target_toponym,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
0,0,1,权县,今湖北省荆门市东南,0,今湖北省荆门市东南,1,﻿权,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.9190423,30.87357742
1,1,3,廖国,河南省唐河县西南,1,河南省唐河县西南,0,,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.6930589243854 32.480310935376686),112.6930589,32.48031094
2,2,3,蓼国,河南省固始县东北,2,河南省固始县东北,0,,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],东北,POINT (115.79366438346126 32.351915557944004),115.7936644,32.35191556
3,3,4,邓,湖北省襄阳市,3,湖北省襄阳市,0.955282053,邓,Single,[{'city': 4206}],City,[],['湖北'],['襄阳'],['NA'],,POINT (111.9878983176966 31.94897772179057),111.9878983,31.94897772
4,4,5,申国,河南省南阳市,4,河南省南阳市,1,﻿申,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.1718187,33.04812011
5,5,6,吕,河南省南阳市西,5,河南省南阳市西,1,吕,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.7363313,33.08097371
6,6,6,申,河南省南阳市西,6,河南省南阳市西,0,,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.7363313,33.08097371
7,7,7,息县,今河南省息县西南,7,今河南省息县西南,1,﻿息,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586189 33.07547364435473),112.383352,33.07547364
8,8,8,商县,今湖北省均县附近,8,今湖北省均县附近,1,商,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.0713036,31.15138517
9,9,9,期思,河南省固始县东北、史灌河以东近淮河南岸,9,河南省固始县东北、史灌河以东近淮河南岸,0.125440352,﻿期思,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],,POINT (115.64033651986048 32.166823147348815),115.6403365,32.16682315
10,10,10,析,今河南省西峡县,10,今河南省西峡县,1,﻿析,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.3346795,33.46482608
11,11,10,白羽,析,11,析,0,,Single,[],0,['No Match'],[],[],[],,POINT EMPTY,,
12,12,12,庐,湖北省襄阳市,12,湖北省襄阳市,0.62752565,﻿庐,Single,[{'city': 4206}],City,[],['湖北'],['襄阳'],['NA'],,POINT (111.9878983176966 31.94897772179057),111.9878983,31.94897772
13,13,11,商密,今河南省淅川县西南,13,今河南省淅川县西南,0,,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013,32.89567168
14,14,11,宜城,今湖北省宜城县东南,14,今湖北省宜城县东南,0,,Single,[{'county': 420684}],County,[],['湖北'],['襄阳'],['宜城'],东南,POINT (112.54872968817956 31.594443674695828),112.5487297,31.59444367
15,15,13,上庸,湖北省竹山县西南,15,湖北省竹山县西南,0,,Single,[{'county': 420323}],County,[],['湖北'],['十堰'],['竹山'],西南,POINT (110.02967793848984 31.835038804173376),110.0296779,31.8350388
16,16,14,宛丘,今河南省淮阳县,16,今河南省淮阳县,0,,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314949 33.6808532217299),114.8342732,33.68085322
17,17,15,沈县,今安徽省临泉县,17,今安徽省临泉县,1,﻿沈,Single,[{'county': 341221}],County,[],['安徽'],['阜阳'],['临泉'],,POINT (115.32646769440711 32.85919356801763),115.3264677,32.85919357
18,18,15,沈国,今河南省平舆县北,18,今河南省平舆县北,8.02E-05,﻿沈,Single,[{'county': 411723}],County,[],['河南'],['驻马店'],['平舆'],北,POINT (114.6180716763989 33.08854590983806),114.6180717,33.08854591
19,19,16,城父,河南省襄城县西（即宝丰县东）,19,河南省襄城县西（即宝丰县东）,0,﻿城父,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.4725711,33.86549013
20,20,16,成公乾,河南省襄城县西（即宝丰县东）,20,河南省襄城县西（即宝丰县东）,0,,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.4725711,33.86549013
21,21,17,郧,今湖北省京山、钟祥二县之间,21,今湖北省京山、钟祥二县之间,0,﻿郧,Single,"[{'county': 420882}, {'county': 420881}]",County,['Multiple Matches'],['湖北'],['荆门'],"['钟祥', '京山']",,POINT EMPTY,,
22,22,17,竟陵县,今湖北省钟祥县北境,22,今湖北省钟祥县北境,0,,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241892 31.16370756306475),112.5902694,31.16370756
23,23,18,州来,安徽省凤台县,23,安徽省凤台县,1,州来,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.5836682,32.77845349
24,24,18,下蔡,安徽省凤台县,24,安徽省凤台县,0,,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.5836682,32.77845349
25,25,19,叶县,今河南省叶县南,25,今河南省叶县南,1,﻿叶,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],南,POINT (113.34345581508488 32.6592671778409),113.3434558,32.65926718
26,26,19,许国,今河南省许昌市东,26,今河南省许昌市东,0,,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],东,POINT (114.00356960917804 34.02570432708742),114.0035696,34.02570433
27,27,20,陈,河南省周口市淮阳区,27,河南省周口市淮阳区,0,,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314949 33.6808532217299),114.8342732,33.68085322
28,28,20,蔡,河南省驻马店市遂平县,28,河南省驻马店市遂平县,0,,Single,[{'county': 411728}],County,[],['河南'],['驻马店'],['遂平'],,POINT (113.9035515691791 33.1705659156846),113.9035516,33.17056592
29,29,20,东不羹,河南省舞阳县西北,29,河南省舞阳县西北,1,东不羹,Single,[{'county': 411121}],County,[],['河南'],['漯河'],['舞阳'],西北,POINT (113.63799840476436 33.62084811001212),113.6379984,33.62084811
30,30,20,西不羹,河南省襄城县东南,30,河南省襄城县东南,0.934069562,西不羹,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],东南,POINT (113.65864801662784 33.79213548583644),113.658648,33.79213549
31,31,21,蔡叔之蔡,河南省修武县以西地带,31,河南省修武县以西地带,0,,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],,POINT (113.25098265552512 35.335418099597675),113.2509827,35.3354181
32,32,21,蔡仲之蔡,河南省上蔡县城关一带,32,河南省上蔡县城关一带,0,,Single,[{'county': 411722}],County,[],['河南'],['驻马店'],['上蔡'],,POINT (114.4356788927954 33.303063368792536),114.4356789,33.30306337
33,33,21,新蔡,河南省新蔡县西,33,河南省新蔡县西,1,新蔡,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],西,POINT (114.81566130467922 32.832301356661006),114.8156613,32.83230136
34,34,22,白县,河南省息县东北或淮滨县西南,34,河南省息县东北或淮滨县西南,0.466739447,﻿白,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],西南,POINT (115.21662798717732 32.415143230054134),115.216628,32.41514323
35,35,22,鄢,河南省漯河市东,35,河南省漯河市东,0,,Single,[{'city': 4111}],City,[],['河南'],['漯河'],['NA'],东,POINT (114.00450087102443 33.699766113252736),114.0045009,33.69976611
36,36,23,巢,今六安县东北,36,今六安县东北,1,﻿居巢,Single,[{'city': 3415}],City,[],['安徽'],['六安'],['NA'],东北,POINT (116.39834601932588 32.121570977949645),116.398346,32.12157098
37,37,23,钟离,今安徽省凤阳县东北,37,今安徽省凤阳县东北,0,,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],东北,POINT (117.74339579251829 32.928118140106754),117.7433958,32.92811814
38,38,24,钟离,安徽省凤阳县东北临淮关,38,安徽省凤阳县东北临淮关,1,﻿钟离,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],,POINT (117.6495453769205 32.83467915504201),117.6495454,32.83467916
39,39,25,阴县,今湖北省老河口北,39,今湖北省老河口北,1,﻿阴,Single,[{'county': 420682}],County,[],['湖北'],['襄阳'],['老河口'],北,POINT (111.67915287960474 32.57991280275441),111.6791529,32.5799128
40,40,26,棠县,今江苏省六合县西北,40,今江苏省六合县西北,1,﻿棠,Single,[{'county': 320116}],County,[],['江苏'],['南京'],['六合'],西北,POINT (118.71752407656504 32.498889905780764),118.7175241,32.49888991
41,41,27,武城,河南省信阳市东北,41,河南省信阳市东北,1,﻿武城,Single,[{'city': 4115}],City,[],['河南'],['信阳'],['NA'],东北,POINT (115.39159126051229 32.36658840647766),115.3915913,32.36658841
42,42,28,成臼,今湖北省钟祥县南之旧口,42,今湖北省钟祥县南之旧口,0,,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241892 31.16370756306475),112.5902694,31.16370756
43,43,28,蓝县,今湖北省钟祥县西北,43,今湖北省钟祥县西北,1,﻿蓝,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],西北,POINT (112.37189480732292 31.43174410052164),112.3718948,31.4317441
44,44,29,苦县,今河南省鹿邑县东,44,今河南省鹿邑县东,1,﻿苦,Single,[{'county': 411628}],County,[],['河南'],['周口'],['鹿邑'],东,POINT (115.48040847576172 33.91043560581133),115.4804085,33.91043561
45,45,30,荀,山西省新绛县东北,45,山西省新绛县东北,1,﻿荀,Single,[{'county': 140825}],County,[],['山西'],['运城'],['新绛'],东北,POINT (111.20247282747285 35.707862053057),111.2024728,35.70786205
46,46,30,荀城,河东,46,河东,0,,Single,"[{'county': 120102}, {'county': 371312}]",County,['Multiple Matches'],"['天津', '山东']","['天津', '临沂']",['河东'],东,POINT EMPTY,,
47,47,31,耿,山西省河津县东南,47,山西省河津县东南,1,﻿耿,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东南,POINT (110.7599363290082 35.58005417864533),110.7599363,35.58005418
48,48,31,魏,山西省芮城县北,48,山西省芮城县北,1,魏,Single,[{'county': 140830}],County,[],['山西'],['运城'],['芮城'],北,POINT (110.66919711236908 34.77537845002612),110.6691971,34.77537845
49,49,32,州,今河南省温县东北,49,今河南省温县东北,1,州,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408926,35.12597599
50,50,33,原,今河南省济源市西北,50,今河南省济源市西北,1,﻿原,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.2486502,35.16917818
51,51,34,温,河南省温县西南,51,河南省温县西南,1,﻿温,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586189 33.07547364435473),112.383352,33.07547364
63,63,35,阳樊,河南省济源市西南,63,河南省济源市西南,1,﻿阳樊,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西南,POINT (112.25871332697656 35.0338132617584),112.2587133,35.03381326
64,64,36,欑茅,河南省修武县北,64,河南省修武县北,1,﻿欑茅,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],北,POINT (113.3294711579739 35.424176774497866),113.3294712,35.42417677
65,65,36,絺,河南省沁阳市西南,65,河南省沁阳市西南,1,絺,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西南,POINT (112.81423673236438 35.0805427573925),112.8142367,35.08054276
66,66,36,陉,河南省沁阳市西北,66,河南省沁阳市西北,1,陉,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西北,POINT (112.82207243327667 35.1899388821775),112.8220724,35.18993888
67,67,37,阳樊,今河南省南阳市,67,今河南省南阳市,0,,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.1718187,33.04812011
68,68,37,温,今河南省温县,68,今河南省温县,0,,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489416 33.90583689978037),113.1238146,33.9058369
69,69,37,原,今河南省原阳县,69,今河南省原阳县,0,,Single,[{'county': 410725}],County,[],['河南'],['新乡'],['原阳'],,POINT (113.93573852377789 35.02307544697928),113.9357385,35.02307545
70,70,37,州,今河南省巩义市,70,今河南省巩义市,0,,Single,[{'county': 410181}],County,[],['河南'],['郑州'],['巩义'],,POINT (113.0759808001721 34.70277642731984),113.0759808,34.70277643
71,71,37,陉,今河南省新安县,71,今河南省新安县,0,,Single,[{'county': 410323}],County,[],['河南'],['洛阳'],['新安'],,POINT (112.11477889252149 34.851623512571),112.1147789,34.85162351
72,72,37,鉏,今河南省滑县东,72,今河南省滑县东,1,鉏,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东,POINT (114.61564810249254 33.87105993080234),114.6156481,33.87105993
73,73,39,瑕县,今河南省灵宝市西北,73,今河南省灵宝市西北,1,﻿瑕,Single,[{'county': 411282}],County,[],['河南'],['三门峡'],['灵宝'],西北,POINT (110.56884012103086 34.55632979416804),110.5688401,34.55632979
74,74,40,阴地,今河南省卢氏县东北之阴地城,74,今河南省卢氏县东北之阴地城,1,﻿阴地,Single,[{'county': 411224}],County,[],['河南'],['三门峡'],['卢氏'],,POINT (111.0004383954327 33.98005790891679),111.0004384,33.98005791
75,75,41,瓜衍之县,今山西省孝义市北,75,今山西省孝义市北,0,,Single,[{'county': 141181}],County,[],['山西'],['吕梁'],['孝义'],北,POINT (111.47384774708355 37.21328035235951),111.4738477,37.21328035
76,76,42,邢丘,今河南省温县东北,76,今河南省温县东北,1,﻿邢丘,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408926,35.12597599
77,77,43,长子,今山西省长子县,77,今山西省长子县,1,﻿长子,Single,[{'county': 140428}],County,[],['山西'],['长治'],['长子'],,POINT (112.74548932043358 36.09314690176834),112.7454893,36.0931469
78,78,43,纯留,今山西省屯留县东南,78,今山西省屯留县东南,1,纯留,Single,[{'county': 140405}],County,[],['山西'],['长治'],['屯留'],东南,POINT (112.88257085707777 36.28942280041733),112.8825709,36.2894228
79,79,44,绛,山西省翼城县东南,79,山西省翼城县东南,0.900339934,﻿绛,Single,[{'county': 141022}],County,[],['山西'],['临汾'],['翼城'],东南,POINT (111.90592411773996 35.548739989585414),111.9059241,35.54873999
80,80,44,新绛,山西省侯马市西,80,山西省侯马市西,1,新绛,Single,[{'county': 141081}],County,[],['山西'],['临汾'],['侯马'],西,POINT (111.32840256273724 35.590361031085344),111.3284026,35.59036103
81,81,45,羽颉,河北省任县东南,81,河北省任县东南,0,,Single,[{'province': 13}],Province,[],['河北'],['NA'],['NA'],东南,POINT (116.90211093871564 38.376611222714985),116.9021109,38.37661122
82,82,45,任县,河北省任县东南,82,河北省任县东南,1,﻿任,Single,[{'province': 13}],Province,[],['河北'],['NA'],['NA'],东南,POINT (116.90211093871564 38.376611222714985),116.9021109,38.37661122
83,83,46,中牟,今河南省鹤壁市西,83,今河南省鹤壁市西,1,﻿中牟,Single,[{'city': 4106}],City,[],['河南'],['鹤壁'],['NA'],西,POINT (114.1725383820197 35.747500848241565),114.1725384,35.74750085
84,84,48,邬县,山西省介休市东北,84,山西省介休市东北,1,﻿邬,Single,[{'county': 140781}],County,[],['山西'],['晋中'],['介休'],东北,POINT (112.07477141384096 37.07439019662411),112.0747714,37.0743902
85,85,48,祁县,山西省祁县东南,85,山西省祁县东南,1,祁,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],东南,POINT (112.64187264646688 36.390949605828496),112.6418726,36.39094961
86,86,48,平陵县,山西省文水县东北,86,山西省文水县东北,1,平陵,Single,[{'county': 141121}],County,[],['山西'],['吕梁'],['文水'],东北,POINT (112.02127509577322 37.50193460664111),112.0212751,37.50193461
87,87,48,梗阳县,山西省清徐县,87,山西省清徐县,1,梗阳,Single,[{'county': 140121}],County,[],['山西'],['太原'],['清徐'],,POINT (112.2845892641352 37.61884260531369),112.2845893,37.61884261
88,88,48,涂水县,山西省榆次市西南,88,山西省榆次市西南,1,涂水,Single,[{'county': 140702}],County,[],['山西'],['晋中'],['榆次'],西南,POINT (112.71009031377348 37.580502346661085),112.7100903,37.58050235
89,89,48,马首县,山西省寿阳县东南,89,山西省寿阳县东南,1,马首,Single,[{'county': 140725}],County,[],['山西'],['晋中'],['寿阳'],东南,POINT (113.23133055966106 37.67516179636428),113.2313306,37.6751618
90,90,48,孟县,山西省阳曲县东北,90,山西省阳曲县东北,0,,Single,[{'county': 140122}],County,[],['山西'],['太原'],['阳曲'],东北,POINT (112.93071204824425 38.2796541976855),112.930712,38.2796542
