NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Baode Zhou,保德州,保德州,111.079483,39.012409,山西保德县城西侧,Zhou,州,6,1376,4,1911,6,0,POINT,200001,FROM_AC,,,,,更名,数据下限
Baode Xian,保德县,保德縣,111.079483,39.012409,山西保德县城西侧,Xian,县,6,1171,4,1256,4,95002,POINT,95002,FROM_AC,,,,,新建,撤销
Baode Xian,保德县,保德縣,111.079483,39.012409,山西保德县城西侧,Xian,县,6,1374,4,1376,4,95003,POINT,95003,FROM_AC,,,,,更名,更名
Hequ Xian,河曲县,河曲縣,111.219826,39.169819,山西河曲县旧县镇,Xian,县,6,1153,4,1264,4,95004,POINT,95004,FROM_AC,,,,,新建,撤消
Hequ Xian,河曲县,河曲縣,111.219826,39.169819,山西河曲县旧县镇,Xian,县,6,1298,4,1367,4,95005,POINT,95005,FROM_AC,,,,,新建,撤消
Hequ Xian,河曲县,河曲縣,111.219826,39.169819,山西河曲县旧县镇,Xian,县,6,1369,4,1372,4,95006,POINT,95006,FROM_AC,,,,,新建,撤销
Hequ Xian,河曲县,河曲縣,111.219826,39.169819,山西河曲县旧县镇,Xian,县,6,1380,4,1764,4,95007,POINT,95007,FROM_AC,,,,,新建,治所迁移
Hequ Xian,河曲县,河曲縣,111.138222,39.380226,山西河曲县城,Xian,县,6,1765,4,1911,6,95008,POINT,95008,FROM_AC,,,,,治所迁移,数据下限
Huoshan Xian,火山县,火山縣,111.219826,39.169819,山西河曲县旧县镇,Xian,县,6,1067,4,1070,4,95009,POINT,95009,FROM_AC,,,,,新建,撤消
Beipingyi Xian,北平邑县,北平邑縣,113.748863,40.029327,今山西大同市大同县许堡乡许堡村,Xian,县,6,97,4,264,4,95010,POINT,95010,FROM_AC,,,,,新建,撤销
