NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Liao Zhou,辽州,遼州,0.0,0.0,,Zhou,州,3,1151,4,1217,4,94032,POLYGON,221250,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,撤销
Qin Zhou,沁州,沁州,0.0,0.0,,Zhou,州,3,1129,4,1217,4,94033,POLYGON,221251,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,撤销
Huo Zhou,霍州,霍州,0.0,0.0,,Zhilizhou,直隶州,3,1772,4,1911,6,94042,POLYGON,221257,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,数据下限
Nanzhe Zhou,南泽州,南澤州,0.0,0.0,,Zhou,州,3,1128,4,1150,4,94064,POLYGON,221277,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Zezhou Fu,泽州,澤州府,0.0,0.0,,Fu,府,3,1151,4,1217,4,94070,POLYGON,221283,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,撤销
Ze Zhou,泽州,澤州,0.0,0.0,,Zhou,州,3,758,4,1127,4,94065,POLYGON,221278,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Gaoping Jun,高平郡,高平郡,0.0,0.0,,Jun,郡,3,742,4,757,4,94071,POLYGON,221284,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Changping Jun,长平郡,長平郡,0.0,0.0,,Jun,郡,3,607,4,617,4,94073,POLYGON,221286,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名和辖区缩小
Gai Zhou,盖州,蓋州,0.0,0.0,,Zhou,州,3,618,4,619,4,94074,POLYGON,221287,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名和辖区缩小,撤销
Ze Zhou,泽州,澤州,0.0,0.0,,Zhou,州,3,618,4,626,4,94075,POLYGON,221288,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,辖区扩大
Ze Zhou,泽州,澤州,0.0,0.0,,Zhou,州,3,627,4,741,4,94076,POLYGON,221289,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区扩大,更名
Lu Zhou,潞州,潞州,0.0,0.0,,Zhou,州,3,1128,4,1217,4,94077,POLYGON,221290,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,撤销
Longde Fu,隆德府,隆德府,0.0,0.0,,Fu,府,3,1104,4,1127,4,94078,POLYGON,221291,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Weisheng Jun,威胜军,威勝軍,0.0,0.0,,Jun,军,3,977,4,980,4,94079,POLYGON,221292,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,辖区扩大
Weisheng Jun,威胜军,威勝軍,0.0,0.0,,Jun,军,3,981,4,1038,4,94080,POLYGON,221293,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区扩大,辖区扩大
Weisheng Jun,威胜军,威勝軍,0.0,0.0,,Jun,军,3,1039,4,1073,4,94081,POLYGON,221294,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区扩大,辖区扩大
Weisheng Jun,威胜军,威勝軍,0.0,0.0,,Jun,军,3,1074,4,1084,4,94082,POLYGON,221295,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区扩大,辖区缩小
Weisheng Jun,威胜军,威勝軍,0.0,0.0,,Jun,军,3,1085,4,1128,4,94083,POLYGON,221296,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区缩小,更名
Qin Zhou,沁州,沁州,0.0,0.0,,Zhou,州,3,758,4,980,4,94084,POLYGON,221297,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,撤销
Yangcheng Jun,阳城郡,陽城郡,0.0,0.0,,Jun,郡,3,742,4,757,4,94085,POLYGON,221298,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Qin Zhou,沁州,沁州,0.0,0.0,,Zhou,州,3,623,4,741,4,94086,POLYGON,221299,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区缩小,更名
Qin Zhou,沁州,沁州,0.0,0.0,,Zhou,州,3,618,4,622,4,94087,POLYGON,221300,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,辖区缩小
Qin Zhou,沁州,沁州,0.0,0.0,,Zhou,州,3,596,4,605,4,94088,POLYGON,221301,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,撤销
Yining Jun,义宁郡,義寧郡,0.0,0.0,,Jun,郡,3,617,4,617,4,94089,POLYGON,221302,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,更名
Longde Jun,隆德军,隆德軍,0.0,0.0,,Jun,军,3,1101,4,1103,4,94090,POLYGON,221303,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Lu Zhou,潞州,潞州,0.0,0.0,,Zhou,州,3,758,4,976,4,94091,POLYGON,221304,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,辖区缩小
Lu Zhou,潞州,潞州,0.0,0.0,,Zhou,州,3,977,4,1100,4,94092,POLYGON,221305,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区缩小,更名
Shangdang Jun,上党郡,上黨郡,0.0,0.0,,Jun,郡,3,742,4,757,4,94093,POLYGON,221306,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名,更名
Lu Zhou,潞州,潞州,0.0,0.0,,Zhou,州,3,643,4,741,4,94094,POLYGON,221307,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区扩大,更名
Han Zhou,韩州,韓州,0.0,0.0,,Zhou,州,3,620,4,642,4,94096,POLYGON,221309,FROM_FD,王尚义王杰,满志敏,,2015/05/25,辖区缩小,撤销
Lu Zhou,潞州,潞州,0.0,0.0,,Zhou,州,3,618,4,642,4,94095,POLYGON,221308,FROM_FD,王尚义王杰,满志敏,,2015/05/25,更名和辖区缩小,辖区扩大
Han Zhou,韩州,韓州,0.0,0.0,,Zhou,州,3,618,4,619,4,94097,POLYGON,221310,FROM_FD,王尚义王杰,满志敏,,2015/05/25,新建,辖区缩小
