CODE2020,COUNTY_CH,COUNTY_EN,DCODE,CITY_CH,CITY_EN,PCODE,PROV_CH,PROV_EN,NOTE
110101,东城区,DongChengQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110102,西城区,XiChengQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110105,朝阳区,ChaoYangQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110106,丰台区,FengTaiQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110107,石景山区,ShiJingShanQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110108,海淀区,HaiDianQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110109,门头沟区,MenTouGouQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110111,房山区,FangShanQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110112,通州区,TongZhouQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110113,顺义区,ShunYiQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110114,昌平区,ChangPingQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110115,大兴区,DaXingQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110116,怀柔区,HuaiRouQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110117,平谷区,PingGuQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110118,密云区,MiYunQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
110119,延庆区,YanQingQu,1101,北京市辖区,BeiJingShiXiaQu,11,北京市,BeiJinShi,
120101,和平区,HePingQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120102,河东区,HeDongQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120103,河西区,HeXiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120104,南开区,NanKaiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120105,河北区,HeBeiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120106,红桥区,HongQiaoQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120110,东丽区,DongLiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120111,西青区,XiQingQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120112,津南区,JinNanQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120113,北辰区,BeiChenQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120114,武清区,WuQingQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120115,宝坻区,BaoDiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120116,滨海新区,BinHaiXinQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120117,宁河区,NingHeQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120118,静海区,JingHaiQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
120119,蓟州区,JiZhouQu,1201,天津市辖区,TianJinShiXiaQu,12,天津市,TianJinShi,
130102,长安区,ChangAnQu,1301,石家庄市,ShiJiaZhuangShi,13,河北省,HeBeiSheng,
130104,桥西区,QiaoXiQu,1301,石家庄市,ShiJiaZhuangShi,13,河北省,HeBeiSheng,
130105,新华区,XinHuaQu,1301,石家庄市,ShiJiaZhuangShi,13,河北省,HeBeiSheng,
130107,井陉矿区,JingXingKuangQu,1301,石家庄市,ShiJiaZhuangShi,13,河北省,HeBeiSheng,
130108,裕华区,YuHuaQu,1301,石家庄市,ShiJiaZhuangShi,13,河北省,HeBeiSheng,
