id,toponym,location,Address,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
1.0,权县,今湖北省荆门市东南,今湖北省荆门市东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
2.0,那处,权县东南,权县东南,Single,[],0,['No Match'],[],[],[],东南,,,
2.0,冄阝国,开封府境,开封府境,Single,[{'city': 4102}],City,[],['河南'],['开封'],['NA'],,POINT (114.5419159671769 34.64206516665747),114.5419159671769,34.64206516665747
3.0,廖国,河南省唐河县西南,河南省唐河县西南,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.6930589243854 32.480310935376686),112.6930589243854,32.480310935376686
3.0,蓼国,河南省固始县东北,河南省固始县东北,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],东北,POINT (115.79366438346126 32.351915557944004),115.79366438346126,32.351915557944004
4.0,邓,湖北省襄樊市西北,湖北省襄樊市西北,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西北,POINT (110.94024844251913 32.16669177126137),110.94024844251913,32.16669177126137
5.0,申国,今河南省南阳市,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
6.0,吕原,河南省南阳市西,河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
6.0,申,河南省南阳市西,河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
7.0,息县,今河南省息县西南,今河南省息县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
8.0,商县,今湖北省均县附近,今湖北省均县附近,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.07130359361382,31.151385171454628
9.0,期思,河南省固始县东北、史灌河以东近淮河南岸,河南省固始县东北、史灌河以东近淮河南岸,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],,POINT (115.64033651986048 32.166823147348815),115.64033651986048,32.166823147348815
10.0,析,今河南省西峡县,今河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
10.0,白羽,析,析,Single,[],0,['No Match'],[],[],[],,,,
12.0,庐,湖北省襄阳市,湖北省襄阳市,Single,[{'city': 4206}],City,[],['湖北'],['襄阳'],['NA'],,POINT (111.9878983176966 31.948977721790566),111.9878983176966,31.948977721790566
11.0,商密,河南省淅川县西南,河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
11.0,上鄀,湖北省宜城县东南,湖北省宜城县东南,Single,[{'county': 420684}],County,[],['湖北'],['襄阳'],['宜城'],东南,POINT (112.54872968817955 31.594443674695828),112.54872968817955,31.594443674695828
13.0,上庸,湖北省竹山县西南,湖北省竹山县西南,Single,[{'county': 420323}],County,[],['湖北'],['十堰'],['竹山'],西南,POINT (110.02967793848985 31.835038804173376),110.02967793848985,31.835038804173376
14.0,宛丘,今河南省淮阳县,今河南省淮阳县,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
15.0,沈县,今安徽省临泉县,今安徽省临泉县,Single,[{'county': 341221}],County,[],['安徽'],['阜阳'],['临泉'],,POINT (115.32646769440711 32.85919356801763),115.32646769440711,32.85919356801763
15.0,沈国,今河南省平舆县北,今河南省平舆县北,Single,[{'county': 411723}],County,[],['河南'],['驻马店'],['平舆'],北,POINT (114.6180716763989 33.08854590983806),114.6180716763989,33.08854590983806
16.0,城父,河南省襄城县西（即宝丰县东）,河南省襄城县西（即宝丰县东）,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.47257105166725,33.86549012672302
16.0,成公乾,城父（成）县,城父（成）县,Single,[],0,['No Match'],[],[],[],,,,
17.0,郧,今湖北省京山、钟祥二县之间,今湖北省京山、钟祥二县之间,Single,"[{'county': 420882}, {'county': 420881}]",County,['Multiple Matches'],['湖北'],['荆门'],"['钟祥', '京山']",,,,
17.0,楚之郧县,今湖北省钟祥县北境,今湖北省钟祥县北境,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241893 31.16370756306475),112.59026941241893,31.16370756306475
18.0,州来,今安徽省凤台县,今安徽省凤台县,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.58366822479394,32.778453487255135
18.0,下蔡,州来,州来,Single,[],0,['No Match'],[],[],[],,,,
19.0,叶县,今河南省叶县南,今河南省叶县南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],南,POINT (113.34345581508488 32.6592671778409),113.34345581508488,32.6592671778409
19.0,许,今河南省许昌市东,今河南省许昌市东,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],东,POINT (114.00356960917803 34.02570432708742),114.00356960917803,34.02570432708742
20.0,陈,河南省周口市淮阳区,河南省周口市淮阳区,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
20.0,蔡,河南省驻马店市遂平县,河南省驻马店市遂平县,Single,[{'county': 411728}],County,[],['河南'],['驻马店'],['遂平'],,POINT (113.9035515691791 33.1705659156846),113.9035515691791,33.1705659156846
20.0,东不羹,河南省舞阳县西北,河南省舞阳县西北,Single,[{'county': 411121}],County,[],['河南'],['漯河'],['舞阳'],西北,POINT (113.63799840476436 33.62084811001212),113.63799840476436,33.62084811001212
20.0,西不羹,河南省襄城县东南,河南省襄城县东南,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],东南,POINT (113.65864801662784 33.79213548583644),113.65864801662784,33.79213548583644
21.0,蔡叔之蔡,河南省修武县以西地带,河南省修武县以西地带,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],,POINT (113.25098265552512 35.335418099597675),113.25098265552512,35.335418099597675
21.0,蔡仲之蔡,河南省上蔡县城关一带,河南省上蔡县城关一带,Single,[{'county': 411722}],County,[],['河南'],['驻马店'],['上蔡'],,POINT (114.43567889279541 33.303063368792536),114.43567889279541,33.303063368792536
21.0,新蔡,河南省新蔡县西,河南省新蔡县西,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],西,POINT (114.81566130467922 32.832301356661006),114.81566130467922,32.832301356661006
21.0,上蔡,楚县,楚县,Single,[],0,['No Match'],[],[],[],,,,
22.0,白县,今河南省息县东北或淮滨县西南,今河南省息县东北或淮滨县西南,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],西南,POINT (115.21662798717733 32.415143230054134),115.21662798717733,32.415143230054134
22.0,巢,今安徽省寿县南,今安徽省寿县南,Single,[{'province': 34}],Province,[],['安徽'],['NA'],['NA'],南,POINT (117.56613510998999 30.626027625500747),117.56613510998999,30.626027625500747
23.0,巢,今六安县东北,今六安县东北,Single,[{'city': 3415}],City,[],['安徽'],['六安'],['NA'],东北,POINT (116.39834601932587 32.121570977949645),116.39834601932587,32.121570977949645
23.0,钟离,今安徽省凤阳县东北,今安徽省凤阳县东北,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],东北,POINT (117.74339579251827 32.928118140106754),117.74339579251827,32.928118140106754
24.0,钟离,安徽省凤阳县东北临淮关,安徽省凤阳县东北临淮关,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],,POINT (117.6495453769205 32.83467915504201),117.6495453769205,32.83467915504201
25.0,阴县,今湖北省老河口北,今湖北省老河口北,Single,[{'county': 420682}],County,[],['湖北'],['襄阳'],['老河口'],北,POINT (111.67915287960474 32.57991280275441),111.67915287960474,32.57991280275441
26.0,棠县,今江苏省六合县西北,今江苏省六合县西北,Single,[{'county': 320116}],County,[],['江苏'],['南京'],['六合'],西北,POINT (118.71752407656504 32.498889905780764),118.71752407656504,32.498889905780764
27.0,武城,河南省信阳市东北,河南省信阳市东北,Single,[{'city': 4115}],City,[],['河南'],['信阳'],['NA'],东北,POINT (115.39159126051227 32.36658840647766),115.39159126051227,32.36658840647766
28.0,成臼,今湖北省钟祥县南之旧口,今湖北省钟祥县南之旧口,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],,POINT (112.59026941241893 31.16370756306475),112.59026941241893,31.16370756306475
28.0,蓝县,今湖北省钟祥县西北,今湖北省钟祥县西北,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],西北,POINT (112.37189480732293 31.431744100521637),112.37189480732293,31.431744100521637
29.0,苦县,今河南省鹿邑县东,今河南省鹿邑县东,Single,[{'county': 411628}],County,[],['河南'],['周口'],['鹿邑'],东,POINT (115.48040847576172 33.91043560581133),115.48040847576172,33.91043560581133
29.0,相县,今安徽省濉溪县西北,今安徽省濉溪县西北,Single,[{'county': 340621}],County,[],['安徽'],['淮北'],['濉溪'],西北,POINT (116.57588881152267 33.823552352605766),116.57588881152267,33.823552352605766
30.0,荀,山西省新绛县东北,山西省新绛县东北,Single,[{'county': 140825}],County,[],['山西'],['运城'],['新绛'],东北,POINT (111.20247282747283 35.707862053057),111.20247282747283,35.707862053057
30.0,荀城,河东,河东,Single,"[{'county': 120102}, {'county': 371312}]",County,['Multiple Matches'],"['天津', '山东']","['天津', '临沂']",['河东'],东,,,
31.0,耿,山西省河津县东南,山西省河津县东南,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东南,POINT (110.7599363290082 35.58005417864533),110.7599363290082,35.58005417864533
31.0,魏,山西省芮城县北,山西省芮城县北,Single,[{'county': 140830}],County,[],['山西'],['运城'],['芮城'],北,POINT (110.66919711236908 34.77537845002612),110.66919711236908,34.77537845002612
32.0,州,今河南省温县东北,今河南省温县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
33.0,原,河南省济源市西北,河南省济源市西北,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.24865016245404,35.16917817701757
34.0,温,河南省温县西南,河南省温县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
35.0,阳樊,河南省济源市西南,河南省济源市西南,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西南,POINT (112.25871332697655 35.0338132617584),112.25871332697655,35.0338132617584
36.0,欑茅,河南省修武县北,河南省修武县北,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],北,POINT (113.3294711579739 35.424176774497866),113.3294711579739,35.424176774497866
36.0,絺,河南省沁阳市西南,河南省沁阳市西南,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西南,POINT (112.81423673236438 35.0805427573925),112.81423673236438,35.0805427573925
36.0,陉,河南省沁阳市西北,河南省沁阳市西北,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西北,POINT (112.82207243327667 35.1899388821775),112.82207243327667,35.1899388821775
37.0,阳樊,今河南省南阳市,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
37.0,温,今河南省温县,今河南省温县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
37.0,原,今河南省原阳县,今河南省原阳县,Single,[{'county': 410725}],County,[],['河南'],['新乡'],['原阳'],,POINT (113.93573852377787 35.02307544697928),113.93573852377787,35.02307544697928
