id,toponym,location
1.0,权县,湖北省荆门县东南
1.0,权国,湖北省荆门县东南
2.0,那处,权县的东南
2.0,那口城,权县的东南
3.0,蓼,今河南省唐河县西南
3.0,湖阳,今河南省固始县东北
4.0,邓国,湖北省襄樊市西北
4.0,邓县,河南省邓州市
5.0,申国,今河南省南阳市
5.0,宛城,今河南省南阳市
6.0,吕国,今河南省南阳市西
6.0,申国,今河南省新蔡县
7.0,息国,今河南省息县西南
7.0,申国,今河南省申县
8.0,商县,今陕西省商县东南之商洛县
8.0,商密,今河南省淅川县西南
9.0,期思,今河南省淮滨县东南期思乡
9.0,蒋国,今河南省淮滨县东南期思乡
10.0,析县,河南省西峡县
10.0,白羽,河南省西峡县
10.0,容城,河南省鲁山县东南
12.0,庐,湖北省襄樊市西南
12.0,庐戢,庐县
12.0,庐县,湖北省襄樊市
11.0,商密,河南省淅川县西南
11.0,宜城,湖北省宜城县东南
11.0,鄀,今河南淅川下寺八号楚墓中
11.0,番,今河南淅川下寺八号楚墓中
13.0,庸,湖北省竹山县西南
14.0,宛丘,河南省淮阳县
15.0,沈尹,沈县
15.0,沈尹寿,沈县
15.0,沈尹射,沈县
15.0,沈尹赤,沈县
15.0,沈尹戌,沈县
15.0,沈尹朱,沈县
16.0,城父,河南省襄城县西（即宝丰县东）
16.0,成公贾,楚庄王时
17.0,郧国,汉晋云杜县的东南（今湖北省京山、钟祥二县之间）
17.0,郧县,汉晋江夏郡之竟陵县（今湖北省钟祥县北境）
18.0,州来,安徽省凤台县
19.0,叶,今河南省叶县南
19.0,许,今河南省许昌市东
20.0,陈,今河南省舞阳县
20.0,蔡,今河南省襄城县
20.0,不羹,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南
21.0,蔡,河南省上蔡县城关一带
21.0,蔡,河南省新蔡县西
22.0,白县,今河南省息县东北
22.0,白亭,汝阴褒信县西南
22.0,鄢,今河南省漯河市东
22.0,巢,今安徽省寿县南
22.0,巢国,今安徽省桐城县以南
23.0,巢国,安徽省巢县东北
23.0,居巢县,今六安县东北
23.0,巢县,今安徽省桐城县南
24.0,钟离,安徽省凤阳县东北临淮关
25.0,阴大夫,湖北省老河口北
25.0,阴县,湖北省老河口北
26.0,棠县,江苏省六合县西北
27.0,武城,河南省信阳市东北
27.0,春秋原属申地,河南省南阳市北
27.0,楚武城,河南省南阳市北
28.0,蓝县,成臼附近
28.0,蓝田,钟祥县西北
29.0,苦县,河南省鹿邑县东
29.0,相县,安徽省濉溪县西北
30.0,荀,山西省新绛县东北
30.0,郇,山西省新绛县东北
31.0,耿,山西省河津县东南
31.0,魏,山西省芮城县北
32.0,州,河南省温县东北
32.0,温,河南省温县
32.0,原,河南省温县
32.0,陉,河南省温县
33.0,原,河南省济源市西北
33.0,温,未提及
33.0,樊,未提及
33.0,隰郕,未提及
33.0,楼茅,未提及
33.0,向,未提及
33.0,盟,未提及
33.0,州,未提及
33.0,陉,未提及
33.0,怀,未提及
34.0,温,河南省温县西南
35.0,阳樊,河南省济源市西南
36.0,欑茅,河南省修武县北
36.0,絺,河南省沁阳市西南
36.0,陉,河南省沁阳市西北
37.0,阳樊,南阳
37.0,温,温县
37.0,原,原阳
37.0,州,州县
37.0,陉,陉县
37.0,鉏,滑县
39.0,瑕,河南省灵宝市西北
39.0,瑕县,河南省灵宝市西北
40.0,阴地,今河南省卢氏县东北之阴地城
41.0,瓜衍之县,山西省孝义市北
41.0,瓜城,山西省孝义市北
42.0,邢丘,河南省温县东北
