index_x,id,toponym,location,index_y,Address,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
0,1.0,权县,湖北省荆门县东南,0,湖北省荆门县东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
1,1.0,当阳县,湖北省当阳县,1,湖北省当阳县,Single,[{'county': 420582}],County,[],['湖北'],['宜昌'],['当阳'],,POINT (111.78932666678335 30.855835234836817),111.78932666678335,30.855835234836817
2,1.0,章山,湖北省荆门县东南,2,湖北省荆门县东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
3,1.0,那处,未提供具体位置,3,未提供具体位置,Single,[],0,['No Match'],[],[],[],,,,
4,3.0,蓼国,今河南省唐河县西南,4,今河南省唐河县西南,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.6930589243854 32.480310935376686),112.6930589243854,32.480310935376686
5,3.0,湖阳,今河南省固始县东北,5,今河南省固始县东北,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],东北,POINT (115.79366438346126 32.351915557944004),115.79366438346126,32.351915557944004
6,4.0,邓国,湖北省襄樊市西北,6,湖北省襄樊市西北,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西北,POINT (110.94024844251913 32.16669177126137),110.94024844251913,32.16669177126137
7,4.0,邓县,河南省邓州市,7,河南省邓州市,Single,[{'county': 411381}],County,[],['河南'],['南阳'],['邓州'],,POINT (112.09151462879211 32.70042143298328),112.09151462879211,32.70042143298328
8,5.0,申国,今河南省南阳市,8,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
9,5.0,宛城,今南阳县,9,今南阳县,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
10,6.0,吕国,今河南省南阳市西,10,今河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
11,6.0,申国,今河南省新蔡县,11,今河南省新蔡县,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],,POINT (114.93042439650982 32.79284167208256),114.93042439650982,32.79284167208256
12,7.0,息国,今河南省息县西南,12,今河南省息县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
13,7.0,申国,不提供位置,13,不提供位置,Single,[],0,['No Match'],[],[],[],,,,
14,8.0,商县,今湖北省均县附近,14,今湖北省均县附近,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.07130359361382,31.151385171454628
15,9.0,蒋国,今河南省淮滨县东南期思乡,15,今河南省淮滨县东南期思乡,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],,POINT (115.32510049543883 32.445541582065275),115.32510049543883,32.445541582065275
16,10.0,析县,河南省西峡县,16,河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
17,10.0,白羽,河南省西峡县,17,河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
18,10.0,容城,河南省鲁山县东南,18,河南省鲁山县东南,Single,[{'county': 410423}],County,[],['河南'],['平顶山'],['鲁山'],东南,POINT (112.970959451863 33.63524269716938),112.970959451863,33.63524269716938
19,12.0,庐,湖北省襄樊市西南,19,湖北省襄樊市西南,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西南,POINT (109.52278362525777 30.07789907618067),109.52278362525777,30.07789907618067
20,12.0,庐戎,湖北省襄樊市西南,20,湖北省襄樊市西南,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西南,POINT (109.52278362525777 30.07789907618067),109.52278362525777,30.07789907618067
21,12.0,庐县,湖北省襄樊市,21,湖北省襄樊市,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.07130359361382,31.151385171454628
22,11.0,鄀,河南省淅川县西南,22,河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
23,11.0,商密,今河南省淅川县西南,23,今河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
24,11.0,郢,今湖北省宜城县东南,24,今湖北省宜城县东南,Single,[{'county': 420684}],County,[],['湖北'],['襄阳'],['宜城'],东南,POINT (112.54872968817955 31.594443674695828),112.54872968817955,31.594443674695828
25,11.0,番,今河南淅川下寺八号楚墓中,25,今河南淅川下寺八号楚墓中,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],,POINT (111.4084641582628 32.97996019624555),111.4084641582628,32.97996019624555
26,11.0,鄢,今河南省信阳市,26,今河南省信阳市,Single,[{'city': 4115}],City,[],['河南'],['信阳'],['NA'],,POINT (114.83337540111046 32.04884152784484),114.83337540111046,32.04884152784484
27,13.0,庸,湖北省竹山县西南,27,湖北省竹山县西南,Single,[{'county': 420323}],County,[],['湖北'],['十堰'],['竹山'],西南,POINT (110.02967793848985 31.835038804173376),110.02967793848985,31.835038804173376
28,14.0,宛丘,河南省淮阳县,28,河南省淮阳县,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
29,15.0,沈尹,河南省固始县,29,河南省固始县,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],,POINT (115.64033651986048 32.166823147348815),115.64033651986048,32.166823147348815
30,15.0,沈县,今安徽省临泉县,30,今安徽省临泉县,Single,[{'county': 341221}],County,[],['安徽'],['阜阳'],['临泉'],,POINT (115.32646769440711 32.85919356801763),115.32646769440711,32.85919356801763
31,16.0,城父,今河南省襄城县西（即宝丰县东）,31,今河南省襄城县西（即宝丰县东）,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.47257105166725,33.86549012672302
32,17.0,郧国,汉晋云杜县的东南（今湖北省京山、钟祥二县之间）,32,汉晋云杜县的东南（今湖北省京山、钟祥二县之间）,Single,[],0,['No Match'],[],[],[],东南,,,
33,17.0,郧县,汉晋江夏郡之竟陵县（今湖北省钟祥县北境）,33,汉晋江夏郡之竟陵县（今湖北省钟祥县北境）,Single,"[{'county': 350582}, {'county': 420115}]",County,['Multiple Matches'],"['福建', '湖北']","['武汉', '泉州']","['江夏', '晋江']",,,,
34,18.0,州来,安徽省凤台县,34,安徽省凤台县,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.58366822479394,32.778453487255135
