index_x,id,toponym,location,index_y,Address,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
0,1.0,权县,今湖北省荆门市东南,0,今湖北省荆门市东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
1,3.0,廖国,河南省唐河县西南,1,河南省唐河县西南,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.6930589243854 32.480310935376686),112.6930589243854,32.480310935376686
2,3.0,蓼国,河南省固始县东北,2,河南省固始县东北,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],东北,POINT (115.79366438346126 32.351915557944004),115.79366438346126,32.351915557944004
3,4.0,邓,湖北省襄阳市,3,湖北省襄阳市,Single,[{'city': 4206}],City,[],['湖北'],['襄阳'],['NA'],,POINT (111.9878983176966 31.948977721790566),111.9878983176966,31.948977721790566
4,5.0,申国,河南省南阳市,4,河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
5,6.0,吕,河南省南阳市西,5,河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
6,6.0,申,河南省南阳市西,6,河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
7,7.0,息县,今河南省息县西南,7,今河南省息县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
8,8.0,商县,今湖北省均县附近,8,今湖北省均县附近,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.07130359361382,31.151385171454628
9,9.0,期思,河南省固始县东北、史灌河以东近淮河南岸,9,河南省固始县东北、史灌河以东近淮河南岸,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],,POINT (115.64033651986048 32.166823147348815),115.64033651986048,32.166823147348815
10,10.0,析,今河南省西峡县,10,今河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
11,10.0,白羽,析,11,析,Single,[],0,['No Match'],[],[],[],,,,
12,12.0,庐,湖北省襄阳市,12,湖北省襄阳市,Single,[{'city': 4206}],City,[],['湖北'],['襄阳'],['NA'],,POINT (111.9878983176966 31.948977721790566),111.9878983176966,31.948977721790566
