id,location
1.0,楚县
1.0,楚邑
1.0,荆门县
1.0,湖北省当阳县
1.0,当阳县
1.0,钟祥县
1.0,湖北省荆门县
1.0,为县
3.0,楚县
3.0,河南省固始县东北
3.0,湖阳
3.0,南阳郡湖阳县
3.0,河南省唐河县
3.0,汉湖阳县
3.0,楚
4.0,邓县
4.0,楚邓县
4.0,湖北省襄樊市
4.0,河南省邓州市
5.0,楚邑
5.0,河南省南阳市
5.0,南阳
5.0,申县
5.0,楚国
5.0,南阳宛
5.0,申国
5.0,南阳郡
6.0,楚县
6.0,邓州南阳西
6.0,新蔡县
6.0,南阳
6.0,申县
6.0,楚后
6.0,汝南新蔡
6.0,吕县
6.0,河南省新蔡县
6.0,吕国
6.0,新蔡
6.0,吕城
6.0,青陂
6.0,河南省南阳市西
7.0,河南省息县
7.0,宋新息县
7.0,慎阳县
7.0,北魏
7.0,申县
7.0,晋汝南郡
7.0,陂水
7.0,汉晋新息县
7.0,楚国
7.0,息县
7.0,汝水
7.0,新息县
7.0,唐豫州新息县
7.0,青陂
8.0,湖北省
8.0,陕西省
8.0,楚国
8.0,河南省淅川县
8.0,雒商县
9.0,河南省淮滨县
9.0,蒋国
9.0,汝南郡
9.0,思县
9.0,固始县
9.0,楚
9.0,光州
9.0,河南省固始县
10.0,楚县
10.0,河南省
10.0,河南省鲁山县东南
12.0,楚邑
12.0,庐县
12.0,湖北省襄樊市
12.0,庐邑
11.0,楚县
11.0,河南淅川
11.0,河南省淅川县
11.0,湖北省宜城县东南
13.0,楚
13.0,湖北省竹山县
13.0,竹山县
13.0,上庸县
14.0,楚县
15.0,沈县
15.0,楚县
15.0,楚国沈县
15.0,临泉县
15.0,汉晋
15.0,沈尹
15.0,平舆县
15.0,楚国
15.0,楚之沈县
15.0,安徽省临泉县
15.0,沈国
15.0,汉晋固始县
15.0,汝阴固始县
15.0,刘宋
15.0,河南省固始县
15.0,河南省平舆县
16.0,河南省襄城县
16.0,安徽省亳州市
16.0,楚庄
17.0,楚县
17.0,汉晋云杜县
17.0,楚边
17.0,郧国
17.0,郧公
17.0,东南
17.0,汉晋江夏郡
17.0,湖北省安陆县
17.0,湖北省钟祥县
17.0,楚国
17.0,竟陵县
17.0,郧后
17.0,湖北省京山
17.0,郧县
18.0,楚县
18.0,安徽省凤台县
18.0,朱方
18.0,钟离
18.0,吴
18.0,楚境
18.0,楚
18.0,巢
18.0,麻
19.0,楚邑
19.0,南阳叶县
19.0,河南省叶县
19.0,州来
19.0,方城
19.0,河南省许昌市东
19.0,楚国
19.0,淮北
19.0,楚
19.0,许国
19.0,叶县
20.0,楚
20.0,河南省舞阳县
20.0,河南省襄城县东南
20.0,楚子城
21.0,河南省上蔡
21.0,河南省
21.0,汝南郡
22.0,安徽省桐城县
22.0,白县
22.0,河南省息县
22.0,巢国
22.0,河南省漯河市东
22.0,安徽省
22.0,汝阴褒信县
22.0,淮滨县
22.0,白城
22.0,巢邑
23.0,楚县
23.0,安徽省
23.0,汉晋
23.0,楚国
23.0,今六安县
23.0,巢
23.0,巢县
24.0,楚县
24.0,安徽省凤阳县
24.0,九江郡
24.0,楚
24.0,凤阳县
24.0,凤阳府
25.0,汉晋阴县
26.0,楚县
26.0,六合县
26.0,棠县
27.0,武城
27.0,武城县
27.0,楚地
27.0,河南省
27.0,河南省南阳市北
28.0,湖北省钟祥县
29.0,楚县
29.0,相县
