,index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,toponym,closeness,target_toponym
0,0,1.0,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,﻿权县,0.34830477495200496,﻿权
1,1,1.0,楚邑,['楚邑'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,﻿权县,0.34830477495200496,﻿权
2,2,1.0,荆门县,['荆门县'],,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864,﻿权县,0.9366817852720497,﻿权
3,3,1.0,湖北省当阳县,['湖北省当阳县'],,"[['湖北', '当阳']]",[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.78912967388116,30.85563097032945,﻿权县,0.20332510925954805,﻿权
4,4,1.0,当阳县,['当阳县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.78912967388116,30.85563097032945,﻿权县,0.20332510925954805,﻿权
5,5,1.0,钟祥县,['钟祥县'],,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612768,112.59551676913844,31.17367125516534,﻿权县,0.8103846639259207,﻿权
6,6,1.0,湖北省荆门县,['湖北省荆门县'],,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864,﻿权县,0.9366817852720497,﻿权
7,8,3.0,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,湖阳；蓼,0.0,湖阳；蓼
8,9,3.0,河南省固始县东北,['河南省固始县东北'],东北,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.78803240239264 32.34860379712833),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563308,115.78803240239264,32.34860379712833,湖阳；蓼,0.0,湖阳；蓼
9,10,3.0,湖阳,['湖阳'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,湖阳；蓼,0.9653642947466282,湖阳；蓼
