index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y
0,1.0,湖北省荆门县,['湖北省荆门县'],,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864
1,1.0,湖北省,['湖北省'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
2,1.0,荆门县,['荆门县'],,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864
3,1.0,钟祥县,['钟祥县'],,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.59551676913844,31.17367125516534
4,3.0,河南省唐河县,['河南省唐河县'],,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.8865472925938 32.62589327697061),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291309,112.8865472925938,32.62589327697061
5,3.0,湖阳县,['湖阳县'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853
6,3.0,南阳郡,['南阳郡'],,[['南阳']],[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
7,3.0,河南省固始县,['河南省固始县'],,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.6391085343304 32.16856521937008),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563307,115.6391085343304,32.16856521937008
8,4.0,邓县,['邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267003,112.09982,32.08813
9,4.0,楚邓县,['楚邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267003,112.09982,32.08813
10,4.0,湖北省襄樊市,['湖北省襄樊市'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
11,4.0,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],[],[],[],[],[],[],[],73.69042944612337,0.9853984907873468,112.09207514991527,32.70213990455176
12,5.0,申县,['申县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
13,5.0,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
14,5.0,申国,['申国'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
15,5.0,南阳郡,['南阳郡'],,[['南阳']],[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
16,6.0,吕国,['吕国'],,[['吕国']],[{'LEV1': 'hvd_112375'}],['国'],[],historic,POINT (117.42096 36.78702),[],[],[],['吕国'],['西汉'],[],[],[],[-187],[-182],0.1529995414732198,0.9999696836586359,117.42096,36.78702
17,6.0,吕县,['吕县'],,[['吕县']],[{'LEV1': 'hvd_42778'}],['县'],[],historic,POINT (117.4576 34.17229),[],[],[],['吕县'],['彭城郡'],['西汉'],[],[],[-201],[580],0.4172458369224554,0.9999173241494512,117.4576,34.17229
18,6.0,河南省,['河南省'],,[['河南']],[{'province': 41}],Province,[],modern,POINT (113.12092453524787 33.871153246001654),['河南省'],['NA'],['NA'],[],[],[],[],[],[],[],602.402864236179,0.8806359110947484,113.12092453524787,33.871153246001654
19,6.0,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
20,7.0,河南省息县,['河南省息县'],,"[['息县', '河南']]",[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243
21,7.0,宋新息县,['宋新息县'],,"[['息县'], ['新息']]","[{'LEV1': 'hvd_617'}, {'LEV1': 'hvd_82584'}]","['县', '县']",['Multiple Matches'],historic,,['河南省'],['信阳市'],"['新县', '息县']","['息县', '新息县']","['光州', '汝南郡']",['河南'],[],[],"[1820, -202]","[1820, 13]",,,,
22,7.0,慎阳县,['慎阳县'],,[['慎阳']],[{'LEV1': 'hvd_83168'}],['县'],[],historic,POINT (114.37146 32.78049),[],[],[],['慎阳县'],['汝南郡'],[],[],[],[-206],[386],1.3440902982366947,0.9997336730560555,114.37146,32.78049
