,index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,toponym,closeness,target_toponym
0,0,1.0,湖北省荆门县,['湖北省荆门县'],,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864,﻿权县,0.9366817852720497,﻿权
1,1,1.0,湖北省,['湖北省'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560236,﻿权县,0.9182966084795144,﻿权
2,2,1.0,荆门县,['荆门县'],,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864,﻿权县,0.9366817852720497,﻿权
3,3,1.0,钟祥县,['钟祥县'],,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612768,112.59551676913844,31.17367125516534,﻿权县,0.8103846639259207,﻿权
4,4,3.0,河南省唐河县,['河南省唐河县'],,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.8865472925938 32.62589327697061),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291308,112.8865472925938,32.62589327697061,湖阳；蓼,0.7893564073413389,湖阳；蓼
5,5,3.0,湖阳县,['湖阳县'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,湖阳；蓼,0.9653642947466282,湖阳；蓼
6,6,3.0,南阳郡,['南阳郡'],,[['南阳']],[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.1860566776014,33.06080863027986,湖阳；蓼,0.0,湖阳；蓼
7,7,3.0,河南省固始县,['河南省固始县'],,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.6391085343304 32.16856521937008),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563308,115.6391085343304,32.16856521937008,湖阳；蓼,0.0,湖阳；蓼
8,8,4.0,邓县,['邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267004,112.09982,32.08813,邓国,0.0,邓
9,9,4.0,楚邓县,['楚邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267004,112.09982,32.08813,邓国,0.0,邓
10,10,4.0,湖北省襄樊市,['湖北省襄樊市'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560236,邓国,0.0,邓
11,11,4.0,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],[],[],[],[],[],[],[],73.69042944612337,0.9853984907873468,112.09207514991527,32.70213990455176,邓国,0.0,邓
