id,toponym,location
1.0,权县,湖北省荆门县东南
1.0,权城,钟祥县西南
3.0,蓼国,湖阳县
3.0,蓼,今河南省唐河县西南
4.0,邓国,湖北省襄樊市
4.0,邓县,河南省邓州市
5.0,申国,今河南省南阳市
5.0,申,今南阳宛县
5.0,申,今南阳宛县
5.0,申,今南阳宛县
6.0,吕国,河南省南阳市西
6.0,申,楚县
7.0,息县,今河南省息县西南
8.0,商县,今湖北省均县附近
9.0,期思国,今河南省淮滨县东南期思乡
10.0,析县,河南省西峡县
10.0,析君,析县
10.0,白羽,析
10.0,容城,河南省鲁山县东南
12.0,庐,湖北省襄樊市西南
12.0,庐戢桨,襄阳中庐县
11.0,商密,河南省淅川县西南
11.0,宜城,湖北省宜城县东南
11.0,鄀,今河南淅川下寺八号楚墓中
11.0,番,楚昭王十二年
11.0,郢,楚昭王十三年
11.0,鄢,楚惠王即位之初
13.0,庸,湖北省竹山县西南
14.0,宛丘,河南省淮阳县
15.0,沈尹,今安徽省临泉县
15.0,沈县,今临泉县
16.0,城父,河南省襄城县西
16.0,城父,安徽省亳州市东南
17.0,郧国,汉晋云杜县的东南
17.0,郧县,汉晋江夏郡之竟陵县
18.0,州来,安徽省凤台县
19.0,叶县,今南阳叶县
19.0,许国,今河南省许昌市东
19.0,叶,今河南省叶县南
20.0,陈,今河南省舞阳县西北
20.0,蔡,今河南省襄城县东南
20.0,不羹,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南
21.0,蔡,商王畿内的河南省修武县以西地带
21.0,上蔡,今河南省上蔡县城关一带
21.0,新蔡,河南省新蔡县西
21.0,方城,缯关
22.0,白县,今河南省息县东北
22.0,白亭,汝阴褒信县西南
22.0,鄢,今河南省漯河市东
22.0,巢,今安徽省寿县南
22.0,巢国,今安徽省桐城县以南
22.0,巢邑,今安徽省六安县东北
23.0,巢国,安徽省巢县东北
23.0,钟离,安徽省凤阳县东北
24.0,钟离,今安徽省凤阳县东北临淮关
25.0,阴大夫,阴县大夫
25.0,阴县,湖北省老河口北
26.0,棠县,江苏省六合县西北
27.0,武城,今河南省信阳市东北
28.0,蓝县,成臼附近
29.0,苦县,河南省鹿邑县东
29.0,相县,安徽省濉溪县西北
30.0,荀,山西省新绛县东北
30.0,荀叔,山西省新绛县东北
30.0,荀城,河东
31.0,耿,今山西省河津县东南
31.0,魏,今山西省芮城县北
32.0,州,河南省温县东北
32.0,温,河南省温县
32.0,原,河南省温县
32.0,州,河南省温县东北
33.0,原,河南省济源市西北
33.0,苏忿生,河南省济源市西北
33.0,温,河南省济源市西北
33.0,樊,河南省济源市西北
33.0,隰郕,河南省济源市西北
33.0,楼茅,河南省济源市西北
33.0,向,河南省济源市西北
33.0,盟,河南省济源市西北
33.0,州,河南省济源市西北
33.0,陉,河南省济源市西北
33.0,怀,河南省济源市西北
33.0,先轸,河南省济源市西北
33.0,赵同,河南省济源市西北
33.0,乐大心,河南省济源市西北
34.0,温,河南省温县西南
35.0,阳樊,河南省济源市西南
36.0,欑茅,河南省修武县北
36.0,絺,河南省沁阳市西南
36.0,陉,河南省沁阳市西北
37.0,阳樊,河南省滑县东
37.0,温,河南省滑县东
37.0,原,河南省滑县东
37.0,州,河南省滑县东
37.0,陉,河南省滑县东
37.0,鉏,河南省滑县东
39.0,瑕,河南省灵宝市西北
40.0,阴地,今河南省卢氏县东北之阴地城
41.0,瓜衍之县,今山西省孝义市北
42.0,邢丘,河南省温县东北
42.0,邢侯,晋邢侯邑
43.0,长子,山西省长子县
43.0,纯留,山西省屯留县东南
44.0,绛,山西省翼城县东南
44.0,绛,山西省侯马市西
45.0,任县,河北省任县东南
46.0,中牟,河南省鹤壁市西
46.0,中牟,河南省中牟县东
48.0,邬县,山西省介休市东北
48.0,祁县,山西省祁县东南
48.0,平陵县,山西省文水县东北
48.0,梗阳县,山西省清徐县
48.0,涂水县,山西省榆次市西南
48.0,马首县,山西省寿阳县东南
48.0,盂县,山西省阳曲县东北
49.0,铜鞮,山西省沁县南
49.0,平阳,山西省临汾市西南
49.0,杨县,山西省洪洞县东南
50.0,邯郸,河北省邯郸市
51.0,原,河南省济源市西北
51.0,冀,山西省河津县东北
52.0,甘县,今河南省洛阳市南
53.0,邽县,今甘肃省天水市
53.0,冀县,今甘肃省甘谷县
53.0,杜县,今陕西省西安市南
53.0,郑县,今陕西省华县
53.0,上邽,今甘肃省天水市
53.0,下邽,今陕西省渭南市北
53.0,虢县,今陕西省宝鸡县西
54.0,叔夷釐邑,莱邑
54.0,管仲狐与穀县,十七县
54.0,晏子之县,一县
54.0,千家之县,晏子之县
54.0,棠县,山东省平度市东南
55.0,朱方,江苏省镇江市东南
55.0,卑梁,安徽省天长市西北
57.0,阳翟县,河南阳城阳翟
57.0,栎,阳翟
58.0,临淄,山东省淄博市临淄北
59.0,高唐,山东省高唐县东
60.0,酅,山东省淄博市东北
60.0,安平,山东省淄博市东北
61.0,阿,山东省甄城县北
61.0,甄,山东省甄城县北
62.0,即墨,山东省平度市东南
62.0,阿,山东省阳谷县东北阿城镇
63.0,南武城,山东省平邑县东南故县
64.0,薛,山东省滕州市南
66.0,蒙,河南省商丘市东北
67.0,昌城,山东省淄博市东南昌城
68.0,聊城,山东省聊城市西北
70.0,夜邑,山东省莱州市
71.0,齐县,山东省沂源县东南
72.0,平陆都,山东省汶上县北
73.0,平陵县,山东省济南市历城区
75.0,安阳,山东阳谷东北
76.0,易（阳）都,山东省沂水县
76.0,高密,齐国兵器（铜戈）铭文
76.0,平阿,齐国兵器（铜戈）铭文
76.0,平陆,齐国兵器（铜戈）铭文
77.0,平阳,山西省临汾市西南
77.0,宜阳,韩大都
77.0,阳翟,韩县
78.0,杨氏县,山西省洪洞县东南
78.0,长子县,山西省长子县西南
79.0,铜鞮,山西省沁县南
80.0,屯留,山西省屯留县南
80.0,晋,山西省
80.0,晋君,屯留县
80.0,晋桓公,屯留
80.0,端氏,山西省
80.0,郑,韩
80.0,长子,屯留
80.0,上党郡,韩
80.0,上党郡,赵
80.0,上党郡,秦
81.0,京,河南省荥阳市东南
83.0,邢丘,河南省温县东平皋故城
83.0,郑城,韩国
83.0,陵观,韩国
83.0,廪丘,韩国
83.0,邢丘,韩国
83.0,邢丘,魏
84.0,卢氏令戈,河南省卢氏县
84.0,卢氏城,河南省卢氏县
85.0,新城,河南省伊川县西南
86.0,路,山西省潞城县东北
86.0,涉,河北省涉县西北
86.0,端氏,山西省沁水县东
87.0,修鱼县,今河南原武县东
88.0,宜阳,河南省宜阳县西
90.0,皋落,山西垣曲县东南
