index,id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y
0,1.0,权县,湖北省荆门县东南,['湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.93259024630586,30.893873672122275
1,1.0,权城,钟祥县西南,['钟祥县西南'],西南,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.4354671451893 31.06718251504033),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.4354671451893,31.06718251504033
2,3.0,蓼国,湖阳县,['湖阳县'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853
3,3.0,蓼,今河南省唐河县西南,['今河南省唐河县西南'],西南,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.69460497288287 32.48221219542366),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291309,112.69460497288287,32.48221219542366
4,4.0,邓国,湖北省襄樊市,['湖北省襄樊市'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
5,4.0,邓县,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],[],[],[],[],[],[],[],73.69042944612337,0.9853984907873468,112.09207514991527,32.70213990455176
6,5.0,申国,今河南省南阳市,['今河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
7,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.2410052999998324,0.9985652193047115,112.53547,33.00168
8,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.2410052999998324,0.9985652193047115,112.53547,33.00168
9,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.2410052999998324,0.9985652193047115,112.53547,33.00168
10,6.0,吕国,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,111.73482409735638,33.083013784123835
11,6.0,申,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
12,7.0,息县,今河南省息县西南,['今河南省息县西南'],西南,"[['息县', '河南']]",[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243
13,8.0,商县,今湖北省均县附近,['今湖北省均县附近'],,"[['湖北', '均']]",[{'county': 420381}],County,[],modern,POINT (111.2478577665955 32.59461104834358),['湖北省'],['十堰市'],['丹江口市'],[],[],[],[],[],[],[],82.15262921111567,0.9837217345415689,111.2478577665955,32.59461104834358
14,9.0,期思国,今河南省淮滨县东南期思乡,['今河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832
15,10.0,析县,河南省西峡县,['河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],[],[],[],[],[],[],[],87.43215001714287,0.9826756153607332,111.33477339151108,33.463616943856806
16,10.0,析君,析县,['析县'],,[['析县']],[{'LEV1': 'hvd_82759'}],['县'],[],historic,POINT (111.47452 33.30071),[],[],[],['析县'],['三川郡'],[],[],[],[-298],[13],13.799979475585475,0.9972655807686057,111.47452,33.30071
17,10.0,白羽,析,['析'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
18,10.0,容城,河南省鲁山县东南,['河南省鲁山县东南'],东南,"[['河南', '鲁山']]",[{'county': 410423}],County,[],modern,POINT (112.97315054814776 33.635538449837114),['河南省'],['平顶山市'],['鲁山县'],[],[],[],[],[],[],[],91.6839266446544,0.9818331402107935,112.97315054814776,33.635538449837114
19,12.0,庐,湖北省襄樊市西南,['湖北省襄樊市西南'],西南,[['湖北']],[{'province': 42}],Province,[],modern,POINT (109.51835403262527 30.068949733121002),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,109.51835403262527,30.068949733121002
20,12.0,庐戢桨,襄阳中庐县,['襄阳中庐县'],,"[['中庐', '襄阳']]",[{'LEV1': 'hvd_45696'}],['县'],[],historic,POINT (112.0238 31.91545),['山东省'],['济南市'],['市中区'],['中庐县'],['襄阳郡'],[],[],[],[208],[551],4.012971928098163,0.9992048431930894,112.0238,31.91545
21,11.0,商密,河南省淅川县西南,['河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],[],[],[],[],[],[],[],105.8536458764005,0.9790254582979839,111.34881046227096,32.89586563317357
22,11.0,宜城,湖北省宜城县东南,['湖北省宜城县东南'],东南,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.54929721526733 31.592039069509852),['湖北省'],['襄阳市'],['宜城市'],[],[],[],[],[],[],[],77.6579610638108,0.9846123378241657,112.54929721526733,31.592039069509852
