,index,id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,closeness,target_toponym
0,0,1.0,权县,湖北省荆门县东南,['湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.93259024630586,30.893873672122275,0.999999999999998,﻿权
1,1,1.0,权城,钟祥县西南,['钟祥县西南'],西南,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.4354671451893 31.06718251504033),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612768,112.4354671451893,31.06718251504033,0.0,
2,2,3.0,蓼国,湖阳县,['湖阳县'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,0.9653642947466282,湖阳；蓼
3,3,3.0,蓼,今河南省唐河县西南,['今河南省唐河县西南'],西南,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.69460497288287 32.48221219542366),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291308,112.69460497288289,32.48221219542366,0.9999999999999973,湖阳；蓼
4,4,4.0,邓国,湖北省襄樊市,['湖北省襄樊市'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560236,0.0,邓
5,5,4.0,邓县,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],[],[],[],[],[],[],[],73.69042944612337,0.9853984907873468,112.09207514991527,32.70213990455176,0.0,邓
6,6,5.0,申国,今河南省南阳市,['今河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.1860566776014,33.06080863027986,0.9999999999999999,﻿申
7,7,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.241005299999832,0.9985652193047116,112.53547,33.00168,0.9658937080773788,﻿申
8,8,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.241005299999832,0.9985652193047116,112.53547,33.00168,0.9658937080773788,﻿申
9,9,5.0,申,今南阳宛县,['今南阳宛县'],,"[['宛县', '南阳']]",[{'LEV1': 'hvd_82610'}],['县'],[],historic,POINT (112.53547 33.00168),['河南省'],['南阳市'],['NA'],['宛县'],['南阳郡'],['秦'],[],[],[-272],[13],7.241005299999832,0.9985652193047116,112.53547,33.00168,0.9658937080773788,﻿申
10,10,6.0,吕国,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,111.73482409735638,33.083013784123835,1.0,吕
11,11,6.0,申,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403,0.9999997803378922,112.19077,30.35045,0.0,
12,12,7.0,息县,今河南省息县西南,['今河南省息县西南'],西南,"[['息县', '河南']]",[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243,0.9568576323084672,﻿息
