,index,id,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMPLR,CHECKER,END_DATE,BEG_CHG_TY,END_CHG_TY,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,Maximum Error Distance,Certainty,X,Y,error_distance,closeness,target_toponym
0,0,0,Dingqiang Jun,定羌军,定羌軍,111.076617,39.017872,今山西保德县城西侧,Jun,军,3.0,993,4.0,1004,4.0,0,POINT,210001,FROM_FD,王尚义王杰,,,,新建,更名,['今山西保德县城西侧'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,15.325976224766382,0.806245997886923,定羌军
1,1,1,Baode Jun,保德军,保德軍,111.083725,39.015976,今山西保德县城西侧,Jun,军,3.0,1005,4.0,1181,4.0,0,POINT,210002,FROM_FD,王尚义王杰,,,,更名,更名,['今山西保德县城西侧'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,14.910065523944422,0.8159288279847638,保德军
2,2,2,Baode Zhou,保德州,保德州,111.083725,39.015976,今山西保德县城西侧,Zhou,州,3.0,1182,4.0,1374,4.0,0,POINT,210003,FROM_FD,王尚义王杰,,,,更名,撤销,['今山西保德县城西侧'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,14.910065523944422,0.8159288279847638,保德州
3,3,3,Baode Zhou,保德州,保德州,111.076617,39.017872,今山西保德县城西侧,Zhilizhou,直隶州,3.0,1724,4.0,1911,6.0,94015,POINT,94015,FROM_FD,王尚义王杰,,,,新建,数据下限,['今山西保德县城西侧'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,15.325976224766382,0.806245997886923,保德州
4,4,4,Huoshan Jun,火山军,火山軍,111.217583,39.16838,今山西保德县旧县镇,Jun,军,3.0,982,4.0,1181,4.0,0,POINT,210004,FROM_FD,王尚义王杰,,,,新建,更名,['今山西保德县旧县镇'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,31.620845646245588,0.3474671526512496,火山军
5,5,5,Huoshan Zhou,火山州,火山州,111.217583,39.16838,今山西保德县旧县镇,Zhou,州,3.0,1182,4.0,1182,4.0,115401,POINT,212201,FROM_FD,王尚义王杰,,,,更名,更名,['今山西保德县旧县镇'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,31.620845646245588,0.3474671526512496,火山州
6,6,6,Ao Zhou,隩州,隩州,111.217583,39.16838,今山西保德县旧县镇,Zhou,州,3.0,1183,4.0,1219,4.0,0,POINT,210005,FROM_FD,王尚义王杰,,,,更名,治所迁移,['今山西保德县旧县镇'],,"[['山西', '保德']]",[{'county': 140931}],County,[],modern,POINT (111.14223441371578 38.88967783868485),['山西省'],['忻州市'],['保德县'],52.81774719900447,0.9895343421375812,111.14223441371578,38.88967783868485,31.620845646245588,0.3474671526512496,隩州
7,7,7,Ao Zhou,隩州,隩州,111.234782,39.413419,今山西河曲县楼子营镇,Zhou,州,3.0,1120,4.0,1264,4.0,0,POINT,210006,FROM_FD,王尚义王杰,,,,治所迁移,撤销,['今山西河曲县楼子营镇'],,"[['山西', '河曲']]",[{'county': 140930}],County,[],modern,POINT (111.37162855785832 39.20409354113352),['山西省'],['忻州市'],['河曲县'],62.71755827467775,0.9875727280757352,111.37162855785832,39.20409354113352,26.065022815309685,0.6310367500088334,隩州
8,8,8,Guan Zhou,管州,管州,111.940397,38.357685,今山西静乐县,Zhou,州,3.0,621,4.0,621,4.0,94201,POINT,94201,FROM_AC,王尚义王杰,,,,新建,更名,['今山西静乐县'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,管州
9,9,9,Beiguan Zhou,北管州,北管州,111.940397,38.357685,今山西静乐县,Zhou,州,3.0,622,4.0,622,4.0,94202,POINT,94202,FROM_AC,王尚义王杰,,,,更名,撤销,['今山西静乐县'],,"[['山西', '静乐']]",[{'county': 140926}],County,[],modern,POINT (112.06348183858893 38.408019993068095),['山西省'],['忻州市'],['静乐县'],59.97916811744326,0.9881153308181704,112.06348183858891,38.408019993068095,12.119231986669737,0.9026005252711358,北管州
