index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y
0,1.0,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
1,1.0,楚邑,['楚邑'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
2,1.0,荆门县,['荆门县'],,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864
3,1.0,湖北省当阳县,['湖北省当阳县'],,"[['湖北', '当阳']]",[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.78912967388115,30.85563097032945
4,1.0,当阳县,['当阳县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.78912967388115,30.85563097032945
5,1.0,钟祥县,['钟祥县'],,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.59551676913844 31.17367125516534),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.59551676913844,31.17367125516534
6,1.0,湖北省荆门县,['湖北省荆门县'],,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.7022176941942 31.005171180352864),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.7022176941942,31.005171180352864
7,1.0,为县,['为县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
8,3.0,楚县,['楚县'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
9,3.0,河南省固始县东北,['河南省固始县东北'],东北,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.78803240239264 32.34860379712833),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563307,115.78803240239264,32.34860379712833
10,3.0,湖阳,['湖阳'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853
11,3.0,南阳郡湖阳县,['南阳郡湖阳县'],,"[['湖阳', '南阳']]",[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),['河南省'],['南阳市'],['NA'],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853
12,3.0,河南省唐河县,['河南省唐河县'],,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.8865472925938 32.62589327697061),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291309,112.8865472925938,32.62589327697061
13,3.0,汉湖阳县,['汉湖阳县'],,"[['湖阳'], ['汉湖']]","[{'LEV1': 'hvd_82644'}, {'LEV1': 'hvd_147168'}]","['县', '村镇']",['Multiple Matches'],historic,,[],[],[],"['湖阳县', '汉湖']","['南阳郡', '盂县']","['秦', '平定州']",['山西'],[],"[-272, 1911]","[265, 1911]",,,,
14,3.0,楚,['楚'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
15,4.0,邓县,['邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267003,112.09982,32.08813
16,4.0,楚邓县,['楚邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267003,112.09982,32.08813
17,4.0,湖北省襄樊市,['湖北省襄樊市'],,[['湖北']],[{'province': 42}],Province,[],modern,POINT (112.96002501880612 31.152191210560233),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,112.96002501880612,31.152191210560233
18,4.0,河南省邓州市,['河南省邓州市'],,"[['河南', '邓州']]",[{'county': 411381}],County,[],modern,POINT (112.09207514991527 32.70213990455176),['河南省'],['南阳市'],['邓州市'],[],[],[],[],[],[],[],73.69042944612337,0.9853984907873468,112.09207514991527,32.70213990455176
19,5.0,楚邑,['楚邑'],,[['楚']],[{'LEV2': 'hvd_115121'}],['国'],[],historic,POINT (112.19077 30.35045),[],[],[],[],['楚'],[],[],[],[-616.0],[-207.0],0.0011085836965403562,0.9999997803378922,112.19077,30.35045
20,5.0,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
21,5.0,南阳,['南阳'],,[['南阳']],[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.18605667760141,33.06080863027986
22,5.0,申县,['申县'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
