id,location
1.0,湖北省荆门县
1.0,湖北省
1.0,荆门县
1.0,钟祥县
3.0,河南省唐河县
3.0,湖阳县
3.0,南阳郡
3.0,河南省固始县
4.0,邓县
4.0,楚邓县
4.0,湖北省襄樊市
4.0,河南省邓州市
5.0,申县
5.0,河南省南阳市
5.0,申国
5.0,南阳郡
6.0,吕国
6.0,吕县
6.0,河南省
6.0,河南省南阳市
7.0,河南省息县
7.0,宋新息县
7.0,慎阳县
7.0,北魏
7.0,陂水
7.0,楚国
7.0,息县
7.0,汝水
7.0,新息县
8.0,陕西省
8.0,湖北省宜城县
8.0,湖北省
9.0,河南省淮滨县
9.0,蒋国
9.0,期思县
9.0,思县
9.0,固始县
9.0,汝南郡
9.0,光州
9.0,河南省固始县
10.0,河南省
10.0,河南省鲁山县
12.0,
11.0,湖北省宜城县
11.0,河南省淅川县
13.0,湖北省竹山县
14.0,楚国
14.0,淮阳县
15.0,沈县
15.0,楚沈县
15.0,安徽省临泉县
15.0,河南省
15.0,平舆县
16.0,安徽省
17.0,石泉
17.0,郧国
17.0,湖北省安陆县
17.0,湖北省钟祥县
17.0,蒲骚
17.0,竟陵县
17.0,湖北省京山
17.0,郧县
17.0,钟祥
18.0,安徽省凤台县
18.0,栎
18.0,钟离
18.0,吴
18.0,楚
18.0,沈
18.0,麻
19.0,为叶县
19.0,河南省
20.0,河南省襄城县
20.0,河南省舞阳县
21.0,河南省
22.0,安徽省桐城县
22.0,白县
22.0,淮滨县
22.0,吴国
22.0,安徽省六安县
22.0,河南省
22.0,安徽省寿县
23.0,安徽省桐城县
23.0,安徽省
23.0,吴
23.0,安徽省凤阳县
23.0,六安县
23.0,楚
24.0,九江郡
24.0,凤阳县
24.0,安徽省凤阳县
25.0,湖北省
26.0,楚国
26.0,棠县
26.0,江苏省六合县
27.0,河南省南阳市
27.0,楚武城
27.0,武城
27.0,武城县
27.0,楚地
27.0,河南省信阳市
27.0,申地
28.0,鄢
28.0,蓝县
28.0,湖北省钟祥县
29.0,安徽省
29.0,河南省
29.0,淮阳国
30.0,山西省新绛县
30.0,晋国
30.0,汲郡
31.0,山西省河津县
31.0,山西省芮城县
32.0,
33.0,
34.0,河南省
35.0,
36.0,河南省沁阳市
37.0,河南省滑县
39.0,河南省灵宝市
39.0,山西省芮城
40.0,
41.0,山西省
42.0,
43.0,上党郡
43.0,山西省屯留县
43.0,山西省长子县
44.0,
45.0,河北省
46.0,河南省
48.0,涂水县
48.0,平定县
48.0,平陵
48.0,盂县
48.0,祁县
48.0,山西省介休市
48.0,山西省榆次市
48.0,山西省
48.0,山西省阳曲县
48.0,梗阳
48.0,寿阳县
48.0,山西省寿阳县
48.0,山西省祁县
48.0,平定州
48.0,韩
48.0,寿阳
49.0,祁
49.0,晋
49.0,平陵
49.0,马首
49.0,涂水
49.0,山西省
49.0,山西省临汾市
49.0,平阳
49.0,梗阳
49.0,孟
49.0,杨县
49.0,铜鞮
49.0,山西省洪洞县
50.0,平陵
50.0,马首
50.0,涂水
50.0,甘丹
50.0,邢丘
50.0,晋县
50.0,晋国
50.0,邯郸市
50.0,梗阳
50.0,平阳
50.0,晋国县
50.0,邯郸
51.0,山西省河津县
51.0,河南省济源市
51.0,河南省济原市
52.0,甘为周县
52.0,河南省洛阳市
52.0,甘县
53.0,甘肃省甘谷县
53.0,杜县
53.0,郑
53.0,秦国
53.0,郑县
53.0,陕西省
53.0,陕西省宝鸡县
53.0,邽
53.0,杜
53.0,甘肃省天水市
53.0,渭水
54.0,山东省平度市
54.0,山东省聊城市
55.0,楚
55.0,安徽省天长市
55.0,吴
57.0,阳翟县
58.0,临淄
58.0,山东省博兴县
58.0,山东省淄博市
59.0,山东省
59.0,齐
60.0,山东省淄博市
60.0,青州临淄县
61.0,山东省
62.0,墨都
62.0,山东省阳谷县
62.0,阿
62.0,山东省平度市
62.0,墨为县
62.0,阿都
62.0,墨与阿县
62.0,墨
63.0,山东省平邑县
63.0,南武城
63.0,鲁县
63.0,齐国
64.0,山东省滕州
66.0,河南省商丘市
67.0,昌国
67.0,齐县
67.0,山东省淄博市
67.0,昌城
68.0,聊城
68.0,山东省聊城市
70.0,山东省莱州市
70.0,东莱
70.0,东莱郡
71.0,山东省沂源县
71.0,齐县
72.0,平陆县
72.0,山东省汶上县
72.0,平陆都
73.0,济南郡
73.0,东平陵县
73.0,山东省济南市历城区
73.0,平陵县
75.0,齐国
75.0,东阿
75.0,山东阳谷
75.0,阿泽
75.0,安阳
76.0,山东省沂水县
76.0,齐国
77.0,宜阳
77.0,山西省临汾市
77.0,韩国
77.0,韩都
77.0,平阳
78.0,上党郡
78.0,秦
78.0,长子县
78.0,赵
78.0,山西省长子县
78.0,山西省
78.0,韩
79.0,上党郡
79.0,山西省沁县南
79.0,晋
79.0,秦
79.0,赵
79.0,魏
79.0,韩
79.0,铜鞮县
79.0,铜鞮
80.0,上党郡
80.0,秦
80.0,赵
80.0,韩上党郡
80.0,屯留县
80.0,韩
80.0,屯留
81.0,韩
81.0,京县
81.0,河南省荥阳市
81.0,京本
83.0,河南省温县
83.0,邢丘
83.0,晋县
83.0,韩县
83.0,韩国
83.0,郑城邢丘
83.0,韩
84.0,秦
84.0,晋国
84.0,韩国
84.0,河南省卢氏县
84.0,卢氏城
84.0,韩
85.0,宜阳
85.0,韩县
85.0,河南省伊川县
85.0,韩国
85.0,魏
85.0,楚
85.0,韩
85.0,韩邑
86.0,山西省沁水县
86.0,山西省潞城县
86.0,河北省
86.0,韩国
86.0,韩
87.0,韩
87.0,韩国
87.0,秦
88.0,宜阳
88.0,秦
88.0,南阳
88.0,襄王
88.0,河南省宜阳县
90.0,西垣曲县
90.0,韩
90.0,韩国
90.0,秦国
92.0,秦
92.0,汝阳县
92.0,河南商水县
92.0,汝阳
92.0,洱阳倫
92.0,楚
92.0,韩
92.0,山东莒县
93.0,韩
93.0,河南省沁阳市
95.0,韩国
95.0,韩县
95.0,秦
95.0,河南登封县
96.0,颍川郡阳翟县
96.0,新郑
96.0,河南省禹州市
96.0,栎邑
96.0,平阳县
96.0,韩县
96.0,郑
96.0,平阳
96.0,阳翟县
96.0,韩
97.0,楚
97.0,韩国
97.0,秦
97.0,河南汝州市
99.0,秦
99.0,湖南
99.0,阳城
99.0,韩县
99.0,襄城
99.0,韩国
99.0,雍氏
99.0,韩
99.0,河南
99.0,安阳
100.0,山西省文水县
100.0,平陵
100.0,秦
100.0,赵
100.0,晋国
100.0,山西省阳曲县
100.0,平陵县
101.0,山西省清徐县
102.0,晋县
102.0,山西省介休市
103.0,秦
103.0,赵国
103.0,山西省榆次市
104.0,赵县
104.0,河北省邯郸市
104.0,秦
104.0,成侯
104.0,甘丹
104.0,秦灭
104.0,赵始
104.0,晋国
104.0,敬侯
104.0,幽缪王
104.0,魏
104.0,邯郸
104.0,赵国
105.0,秦
105.0,祁县
105.0,祁地
105.0,祁为赵县
105.0,祁本
105.0,山西省祁县
105.0,赵国
106.0,中牟县
106.0,赵县
106.0,晋县
106.0,邯郸县
106.0,中牟
106.0,邯郸
106.0,赵国
106.0,河南省鹤壁市
107.0,赵县
107.0,山西省太原市
107.0,晋阳
107.0,晋阳城
107.0,邯郸
107.0,赵国
108.0,泫氏
108.0,山西省高平市
108.0,泫氏县
109.0,山西省大同县
109.0,平邑县
111.0,河北省平山县
111.0,番吾县
115.0,赵
115.0,榆次县
115.0,山西省榆次市
115.0,魏
115.0,邯郸榆次
115.0,榆次
115.0,赵国
116.0,蔺县
116.0,山西省离石县
118.0,河北省
120.0,河北省蔚县
122.0,赵县
122.0,河北省获鹿县
122.0,中山
122.0,中山邑
122.0,石邑
122.0,赵国
123.0,赵县
123.0,秦
123.0,云中郡
123.0,内蒙古自治区托克托县
123.0,赵云中县
123.0,云中县
124.0,秦
124.0,山西省右玉县
124.0,赵
124.0,善无
124.0,善无县
124.0,赵国
124.0,雁门郡
126.0,河北省
126.0,唐为县
126.0,唐县
126.0,赵国
127.0,山西省汾阳南
127.0,内蒙古
127.0,赵国
128.0,防陵
128.0,秦
128.0,安阳
128.0,河南安阳
131.0,武垣县
131.0,秦
131.0,赵
131.0,秦大
131.0,武垣
131.0,河北省肃宁县
132.0,河北省元氏县
132.0,赵
133.0,河北
133.0,赵国
133.0,邢县
134.0,赵县
134.0,秦
134.0,孝成王
134.0,赵
134.0,新城县
134.0,山西省朔州南
134.0,赵国
135.0,山西省阳曲县
135.0,狼孟县
138.0,秦
138.0,河北省隆尧县
138.0,赵国
140.0,山东省平原县南
140.0,秦
140.0,平原县
141.0,富昌
141.0,赵国
141.0,内蒙古自治区
141.0,富昌县
142.0,赵县
