,index,id,toponym,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,closeness,target_toponym
0,0,1.0,权县,湖北省荆门市东南,['湖北省荆门市东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.93259024630586,30.893873672122275,0.999999999999998,﻿权
1,1,1.0,权城,湖北省钟祥市西南,['湖北省钟祥市西南'],西南,"[['湖北', '钟祥']]",[{'county': 420881}],County,[],modern,POINT (112.4354671451893 31.06718251504033),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612768,112.4354671451893,31.06718251504033,0.0,
2,2,3.0,廖国,河南省唐河县西南,['河南省唐河县西南'],西南,"[['河南', '唐河']]",[{'county': 411328}],County,[],modern,POINT (112.69460497288287 32.48221219542366),['河南省'],['南阳市'],['唐河县'],[],[],[],[],[],[],[],79.25960938735419,0.9842949766291308,112.69460497288289,32.48221219542366,0.0,
3,3,3.0,蓼国,河南省固始县东北,['河南省固始县东北'],东北,"[['河南', '固始']]",[{'county': 411525}],County,[],modern,POINT (115.78803240239264 32.34860379712833),['河南省'],['信阳市'],['固始县'],[],[],[],[],[],[],[],95.90564323075354,0.9809966213563308,115.78803240239264,32.34860379712833,0.0,湖阳；蓼
4,4,4.0,邓国,今湖北省襄樊市西北,['今湖北省襄樊市西北'],西北,[['湖北']],[{'province': 42}],Province,[],modern,POINT (110.92700497356418 32.15883161637984),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,110.92700497356418,32.15883161637984,0.0,邓
5,5,4.0,邓县,楚邓县,['楚邓县'],,[['邓县']],[{'LEV1': 'hvd_45652'}],['县'],[],historic,POINT (112.09982 32.08813),['河南省'],['南阳市'],['邓州市'],['邓县'],['南阳郡'],[],[],[],[-272],[216],5.693362809470346,0.9988718794267004,112.09982,32.08813,0.0,邓
6,6,5.0,申国,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.1860566776014,33.06080863027986,0.9999999999999999,﻿申
7,7,5.0,申县,河南省南阳市,['河南省南阳市'],,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (112.18605667760141 33.06080863027986),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,112.1860566776014,33.06080863027986,0.9999999999999999,﻿申
8,8,6.0,吕原,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,111.73482409735638,33.083013784123835,1.0,吕
9,9,6.0,申,河南省南阳市西,['河南省南阳市西'],西,"[['河南', '南阳']]",[{'prefecture': 4113}],Prefecture,[],modern,POINT (111.73482409735638 33.083013784123835),['河南省'],['南阳市'],['NA'],[],[],[],[],[],[],[],281.5621607697731,0.9442094107021022,111.73482409735638,33.083013784123835,0.0,
10,10,7.0,息县,今河南省息县西南,['今河南省息县西南'],西南,"[['息县', '河南']]",[{'LEV1': 'hvd_617'}],['县'],[],historic,POINT (114.72909 32.34243),['河南省'],['信阳市'],['息县'],['息县'],['光州'],['河南'],[],[],[1820],[1820],3.9742886596587694,0.9992125081518194,114.72909,32.34243,0.9568576323084672,﻿息
11,11,8.0,商县,今湖北省均县附近,['今湖北省均县附近'],,"[['湖北', '均']]",[{'county': 420381}],County,[],modern,POINT (111.2478577665955 32.59461104834358),['湖北省'],['十堰市'],['丹江口市'],[],[],[],[],[],[],[],82.15262921111567,0.9837217345415687,111.2478577665955,32.59461104834358,0.9999999999999964,商
12,12,9.0,期思县,河南省淮滨县东南期思乡,['河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832,0.9999999999999913,﻿期思
13,13,9.0,蒋国都城期思,河南省淮滨县东南期思乡,['河南省淮滨县东南期思乡'],,"[['河南', '淮滨']]",[{'county': 411527}],County,[],modern,POINT (115.31412286503618 32.46081562194832),['河南省'],['信阳市'],['淮滨县'],[],[],[],[],[],[],[],55.69217627928692,0.9889647837429248,115.31412286503618,32.46081562194832,0.0,
14,14,10.0,析,今河南省西峡县,['今河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],[],[],[],[],[],[],[],87.43215001714287,0.9826756153607332,111.33477339151108,33.463616943856806,0.9999999999999998,﻿析；白羽
15,15,10.0,白羽,今河南省西峡县,['今河南省西峡县'],,"[['河南', '西峡']]",[{'county': 411323}],County,[],modern,POINT (111.33477339151108 33.463616943856806),['河南省'],['南阳市'],['西峡县'],[],[],[],[],[],[],[],87.43215001714287,0.9826756153607332,111.33477339151108,33.463616943856806,0.9999999999999998,﻿析；白羽
16,16,12.0,庐,今湖北省襄阳市中庐县,['今湖北省襄阳市中庐县'],,"[['湖北', '襄阳']]",[{'prefecture': 4206}],Prefecture,[],modern,POINT (111.99218815084078 31.949474174194535),['湖北省'],['襄阳市'],['NA'],[],[],[],[],[],[],[],231.05567655951188,0.9542170996250448,111.99218815084078,31.94947417419453,0.0,﻿庐
17,17,12.0,庐戎,今湖北省襄樊市西南,['今湖北省襄樊市西南'],西南,[['湖北']],[{'province': 42}],Province,[],modern,POINT (109.51835403262527 30.068949733121002),['湖北省'],['NA'],['NA'],[],[],[],[],[],[],[],750.73917366521,0.8512435733790001,109.51835403262528,30.068949733121,0.0,
18,18,11.0,商密,今河南省淅川县西南,['今河南省淅川县西南'],西南,"[['河南', '淅川']]",[{'county': 411326}],County,[],modern,POINT (111.34881046227096 32.89586563317357),['河南省'],['南阳市'],['淅川县'],[],[],[],[],[],[],[],105.8536458764005,0.979025458297984,111.34881046227096,32.89586563317357,0.0,
19,19,11.0,宜城,今湖北省宜城县东南,['今湖北省宜城县东南'],东南,"[['湖北', '宜城']]",[{'county': 420684}],County,[],modern,POINT (112.54929721526733 31.592039069509852),['湖北省'],['襄阳市'],['宜城市'],[],[],[],[],[],[],[],77.6579610638108,0.9846123378241656,112.54929721526732,31.59203906950985,0.0,
20,20,13.0,上庸,湖北省竹山县西南,['湖北省竹山县西南'],西南,"[['湖北', '竹山']]",[{'county': 420323}],County,[],modern,POINT (110.02016358021368 32.23409831660457),['湖北省'],['十堰市'],['竹山县'],[],[],[],[],[],[],[],125.85399421180506,0.975062456960216,110.02016358021368,32.23409831660457,0.9999999999999994,﻿庸；上庸
21,21,14.0,宛丘,今河南省淮阳县,['今河南省淮阳县'],,"[['河南', '淮阳']]",[{'county': 411603}],County,[],modern,POINT (114.83825605453461 33.678069228952864),['河南省'],['周口市'],['淮阳区'],[],[],[],[],[],[],[],64.09541647393486,0.9872997101364804,114.8382560545346,33.678069228952864,0.9999999999999893,陈；宛丘
