id,location
1.0,当阳县章山
1.0,钟祥县西
1.0,荆城
1.0,湖北省荆门县东南
1.0,权城
1.0,当阳县县
1.0,当阳县
1.0,荆门县西南
1.0,湖北省当阳县东南
1.0,会权口
1.0,安陆府城
1.0,县
1.0,章山
3.0,湖阳
3.0,湖阳县县
3.0,湖阳县故城
3.0,南阳郡湖阳县
3.0,河南省固始县东北姓
3.0,河南省唐河县西南
3.0,阳
4.0,邓县
4.0,襄阳山湾
4.0,湖北省襄樊市西北
4.0,河南省邓州市
5.0,河南省南阳市
5.0,迳宛城
5.0,南阳
5.0,南阳郡宛县
5.0,南阳宛县
5.0,南阳府县
5.0,南阳郡
5.0,南阳县
6.0,邓州南阳西
6.0,新蔡县青陂之东
6.0,宛西吕城宛县
6.0,宛县
6.0,南阳宛县
6.0,大吕亭吕亭
6.0,河南省新蔡县
6.0,汝南府新蔡县北
6.0,汝南新蔡吕亭
6.0,河南省南阳市西
7.0,新息县故城南
7.0,息城
7.0,息县晋
7.0,汉晋汝南郡
7.0,淮水
7.0,唐豫州新息县西
7.0,新息县
7.0,蔡州新息县
8.0,置县
8.0,陕西省商县东南之商洛县
8.0,州
8.0,县邬
8.0,河南省淅川县西南
8.0,汉晋商县
8.0,上雒商县
8.0,商密
8.0,邑
9.0,蒋国城
9.0,河南省淮滨县东南期思乡
9.0,魏晋期思县东北期思城
9.0,期思
9.0,期思思
9.0,固始县西北
9.0,期思县
9.0,南郡期思县
9.0,思
9.0,期思楚期思县
9.0,期思故城
9.0,史灌河以东近淮河南岸
9.0,固始县期思邑
9.0,濮
9.0,河南省固始县东北、
9.0,光州
10.0,容城
10.0,河南省鲁山县东南
10.0,河南省西峡县
12.0,庐县县
12.0,襄阳中庐县
12.0,汉水中游南岸
12.0,湖北省襄樊市西南
11.0,宜城
11.0,河南省淅川县西南
11.0,河南淅川下寺八
11.0,湖北省宜城县东南
11.0,县
11.0,商密
13.0,石溪
13.0,汉中郡
13.0,湖北省竹山县西南
13.0,上庸县
13.0,竹山县东
13.0,庸郡
13.0,上庸
14.0,河南省淮阳县
14.0,宛丘
15.0,河南省固始县晋固始县晋固始县
15.0,楚沈县
15.0,安徽省临泉县
15.0,县
15.0,汝阴固始县
15.0,河南省平舆县
16.0,安徽省亳州市东南父
16.0,宝丰县东
16.0,河南省襄城县西
17.0,汉晋云杜县的东南
17.0,湖北省钟祥县北境
17.0,汉晋江夏郡之
17.0,湖北省安陆县
17.0,湖北省京山、钟祥二县县
17.0,竟陵县
17.0,郧县
18.0,安徽省凤台县
19.0,南阳叶县
19.0,叶县南三十里旧县店邑
19.0,河南省许昌市东
19.0,淮北
19.0,南阳府古迹叶县故城
19.0,叶县西南
19.0,河南省叶县南
20.0,河南省襄城县东南
20.0,河南省舞阳县西北
21.0,畿
21.0,汝南郡新蔡县
21.0,新蔡县
21.0,河南省上蔡县城关一带
21.0,河南省修武县以西
21.0,河南省新蔡县西
