index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y
0,1.0,当阳县章山,['当阳县章山'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.78912967388115,30.85563097032945
1,1.0,钟祥县西,['钟祥县西'],西,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.44076336363258 31.218573602657912),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612769,112.44076336363258,31.218573602657912
2,1.0,荆城,['荆城'],,[['城']],[{'county': 140302}],County,[],modern,POINT (113.54813158677086 37.86591791066611),['山西省'],['阳泉市'],['城区'],[],[],[],[],[],[],[],11.212881781079998,0.9977782054215529,113.54813158677086,37.86591791066611
3,1.0,湖北省荆门县东南,['湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.93259024630586,30.893873672122275
4,1.0,权城,['权城'],,[['权城']],[{'LEV1': 'hvd_133644'}],['村镇'],[],historic,POINT (114.58235 38.23503),['山西省'],['阳泉市'],['城区'],['权城'],['正定县'],['正定府'],['直隶'],[],[1911],[1911],5.9332154878333885,0.9988243534301887,114.58235,38.23503
5,1.0,当阳县县,['当阳县县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.78912967388115,30.85563097032945
6,1.0,当阳县,['当阳县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.78912967388115,30.85563097032945
7,1.0,荆门县西南,['荆门县西南'],西南,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.3458648820803 30.73354866316452),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.3458648820803,30.73354866316452
8,1.0,湖北省当阳县东南,['湖北省当阳县东南'],东南,"[['湖北', '当阳']]",[{'county': 420582}],County,[],modern,POINT (111.95613423513564 30.710823688307705),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863625,111.95613423513564,30.710823688307705
9,1.0,会权口,['会权口'],,[],[],[],['No Match'],,,[],[],[],[],[],[],[],[],[],[],,,,
