,index,id,location,Address,Direction,Match Elements,Match Result,Match Level,Match Error,Match Period,geometry,Province,Prefecture,County,LEV1,LEV2,LEV3,LEV4,LEV5,BEG,END,Maximum Error Distance,Certainty,X,Y,toponym,closeness,target_toponym
0,0,1.0,当阳县章山,['当阳县章山'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.78912967388116,30.85563097032945,﻿权县,0.20332510925954805,﻿权
1,1,1.0,钟祥县西,['钟祥县西'],西,[['钟祥']],[{'county': 420881}],County,[],modern,POINT (112.44076336363258 31.218573602657912),['湖北省'],['荆门市'],['钟祥市'],[],[],[],[],[],[],[],100.17723773452764,0.9801502193612768,112.44076336363258,31.218573602657912,﻿权县,0.6846309651904532,﻿权
2,2,1.0,荆城,['荆城'],,[['城']],[{'county': 140302}],County,[],modern,POINT (113.54813158677086 37.86591791066611),['山西省'],['阳泉市'],['城区'],[],[],[],[],[],[],[],11.212881781079998,0.9977782054215528,113.54813158677086,37.86591791066611,﻿权县,0.0,﻿权
3,3,1.0,湖北省荆门县东南,['湖北省荆门县东南'],东南,"[['湖北', '荆门']]",[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.93259024630586 30.893873672122275),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.93259024630586,30.893873672122275,﻿权县,0.999999999999998,﻿权
4,4,1.0,权城,['权城'],,[['权城']],[{'LEV1': 'hvd_133644'}],['村镇'],[],historic,POINT (114.58235 38.23503),['山西省'],['阳泉市'],['城区'],['权城'],['正定县'],['正定府'],['直隶'],[],[1911],[1911],5.9332154878333885,0.9988243534301888,114.58235,38.23503,﻿权县,0.0,﻿权
5,5,1.0,当阳县县,['当阳县县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.78912967388116,30.85563097032945,﻿权县,0.20332510925954805,﻿权
6,6,1.0,当阳县,['当阳县'],,[['当阳']],[{'county': 420582}],County,[],modern,POINT (111.78912967388115 30.85563097032945),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.78912967388116,30.85563097032945,﻿权县,0.20332510925954805,﻿权
7,7,1.0,荆门县西南,['荆门县西南'],西南,[['荆门']],[{'prefecture': 4208}],Prefecture,[],modern,POINT (112.3458648820803 30.73354866316452),['湖北省'],['荆门市'],['NA'],[],[],[],[],[],[],[],155.83922808846603,0.9691209843431546,112.3458648820803,30.73354866316452,﻿权县,0.6871425685094089,﻿权
8,8,1.0,湖北省当阳县东南,['湖北省当阳县东南'],东南,"[['湖北', '当阳']]",[{'county': 420582}],County,[],modern,POINT (111.95613423513564 30.710823688307705),['湖北省'],['宜昌市'],['当阳市'],[],[],[],[],[],[],[],73.43624544803328,0.9854488564863624,111.95613423513564,30.710823688307705,﻿权县,0.3252985696122922,﻿权
9,12,1.0,章山,['章山'],,[['章山']],[{'LEV2': 'hvd_34408'}],['郡'],[],historic,POINT (112.54124 30.8881),[],[],[],[],['章山郡'],[],[],[],[550.0],[586.0],10.426308844742616,0.9979340621869792,112.54124,30.8881,﻿权县,0.8643317650880249,﻿权
10,13,3.0,湖阳,['湖阳'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,湖阳；蓼,0.9653642947466282,湖阳；蓼
11,14,3.0,湖阳县县,['湖阳县县'],,[['湖阳']],[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),[],[],[],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,湖阳；蓼,0.9653642947466282,湖阳；蓼
12,15,3.0,湖阳县故城,['湖阳县故城'],,[['故城']],[{'county': 131126}],County,[],modern,POINT (115.86658265576625 37.30284740953199),['河北省'],['衡水市'],['故城县'],[],[],[],[],[],[],[],58.382367671961305,0.9884317314225736,115.86658265576624,37.30284740953199,湖阳；蓼,0.0,湖阳；蓼
13,16,3.0,南阳郡湖阳县,['南阳郡湖阳县'],,"[['湖阳', '南阳']]",[{'LEV1': 'hvd_82644'}],['县'],[],historic,POINT (112.745 32.40853),['河南省'],['南阳市'],['NA'],['湖阳县'],['南阳郡'],['秦'],[],[],[-272],[265],6.1995211941420205,0.9987715858557116,112.745,32.40853,湖阳；蓼,0.9653642947466282,湖阳；蓼
