id,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMPLR,CHECKER,END_DATE,BEG_CHG_TY,END_CHG_TY
0,Dingqiang Jun,定羌军,定羌軍,111.076617,39.017872,今山西保德县城西侧,Jun,军,3,993,4,1004,4,0,POINT,210001,FROM_FD,王尚义王杰,,,,新建,更名
1,Baode Jun,保德军,保德軍,111.083725,39.015976,今山西保德县城西侧,Jun,军,3,1005,4,1181,4,0,POINT,210002,FROM_FD,王尚义王杰,,,,更名,更名
2,Baode Zhou,保德州,保德州,111.083725,39.015976,今山西保德县城西侧,Zhou,州,3,1182,4,1374,4,0,POINT,210003,FROM_FD,王尚义王杰,,,,更名,撤销
3,Baode Zhou,保德州,保德州,111.076617,39.017872,今山西保德县城西侧,Zhilizhou,直隶州,3,1724,4,1911,6,94015,POINT,94015,FROM_FD,王尚义王杰,,,,新建,数据下限
4,Huoshan Jun,火山军,火山軍,111.217583,39.16838,今山西保德县旧县镇,Jun,军,3,982,4,1181,4,0,POINT,210004,FROM_FD,王尚义王杰,,,,新建,更名
5,Huoshan Zhou,火山州,火山州,111.217583,39.16838,今山西保德县旧县镇,Zhou,州,3,1182,4,1182,4,115401,POINT,212201,FROM_FD,王尚义王杰,,,,更名,更名
6,Ao Zhou,隩州,隩州,111.217583,39.16838,今山西保德县旧县镇,Zhou,州,3,1183,4,1219,4,0,POINT,210005,FROM_FD,王尚义王杰,,,,更名,治所迁移
7,Ao Zhou,隩州,隩州,111.234782,39.413419,今山西河曲县楼子营镇,Zhou,州,3,1120,4,1264,4,0,POINT,210006,FROM_FD,王尚义王杰,,,,治所迁移,撤销
8,Guan Zhou,管州,管州,111.940397,38.357685,今山西静乐县,Zhou,州,3,621,4,621,4,94201,POINT,94201,FROM_AC,王尚义王杰,,,,新建,更名
9,Beiguan Zhou,北管州,北管州,111.940397,38.357685,今山西静乐县,Zhou,州,3,622,4,622,4,94202,POINT,94202,FROM_AC,王尚义王杰,,,,更名,撤销
10,Xian Zhou,宪州,憲州,111.844743,38.096677,今山西楼烦县楼烦镇汾河水库库区,Zhou,州,3,889,4,1001,4,94221,POINT,94221,FROM_FD,王尚义王杰,,,,新建,治所迁移
11,Xian Zhou,宪州,憲州,111.940397,38.357685,今山西静乐县,Zhou,州,3,1002,4,1069,4,94222,POINT,94222,FROM_AC,王尚义王杰,,,,治所迁移,撤销
12,Xian Zhou,宪州,憲州,111.940397,38.357685,今山西静乐县,Zhou,州,3,1077,4,1150,4,94224,POINT,94224,FROM_AC,王尚义王杰,,,,新建,更名
13,Guan Zhou,管州,管州,111.940397,38.357685,今山西静乐县,Zhou,州,3,1151,4,1268,4,0,POINT,210007,FROM_AC,王尚义王杰,,,,更名,撤销
14,Xiurong Jun,秀容郡,秀容郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,410,4,549,4,0,POINT,210008,FROM_AC,王尚义王杰,,,,新建,撤销
15,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,215,4,295,4,0,POINT,210009,FROM_AC,王尚义王杰,,,,新建,更名
16,Jinchang Jun,晋昌郡,晉昌郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,296,4,299,4,0,POINT,210010,FROM_AC,王尚义王杰,,,,更名,更名
17,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,300,4,445,4,0,POINT,210011,FROM_AC,王尚义王杰,,,,更名,治所迁移
18,Xinxing Jun,新兴郡,新興郡,112.944084,38.492717,今山西定襄县城,Jun,郡,3,446,4,528,4,0,POINT,210012,FROM_AC,王尚义王杰,,,,治所迁移,更名
19,Yong'an Jun,永安郡,永安郡,112.944084,38.492717,今山西定襄县城,Jun,郡,3,529,4,555,4,0,POINT,210013,FROM_AC,王尚义王杰,,,,更名,撤销
20,Xinxing Jun,新兴郡,新興郡,112.733095,38.26174,今山西忻州市南三十里,Jun,郡,3,581,4,583,4,0,POINT,210014,FROM_FD,王尚义王杰,,,,新建,撤销
21,Xinxing Jun,新兴郡,新興郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,617,4,617,4,94203,POINT,94203,FROM_AC,王尚义王杰,,,,新建,更名
22,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3,618,4,741,4,0,POINT,210015,FROM_AC,王尚义王杰,,,,更名,更名
23,Dingxiang Jun,定襄郡,定襄郡,112.731508,38.398588,今山西忻州市区,Jun,郡,3,742,4,757,4,0,POINT,210016,FROM_AC,王尚义王杰,,,,更名,更名
24,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3,758,4,1217,4,94220,POINT,94220,FROM_AC,王尚义王杰,,,,更名,撤销
25,Xin Zhou,忻州,忻州,112.731508,38.398588,今山西忻州市区,Zhou,州,3,1724,4,1911,6,94023,POINT,94023,FROM_AC,王尚义王杰,,,,新建,数据下限
